time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
30633.42,-0.3028,-70.5305,1.4019,0,0,270
30633.43,-0.3028,-70.5305,1.4019,0,0,270
30633.44,-0.3028,-70.4951,1.4019,0,0,270
30633.45,-0.3028,-70.4951,1.4019,0,0,270
30633.46,-0.3028,-70.4774,1.4019,0,0,270
30633.47,-0.3028,-70.4774,1.4019,0,0,270
30633.48,-0.2692,-70.4774,1.4019,0,0,270
30633.49,-0.2692,-70.4774,1.4019,0,0,270
30633.5,-0.2692,-70.4774,1.4019,0,0,270
30633.51,-0.2692,-70.4774,1.4019,0,0,270
30633.52,-0.2692,-70.4774,1.4019,0,0,270
30633.53,-0.2413,-70.4774,1.4019,0,0,270
30633.54,-0.2133,-70.4774,1.4019,0,0,270
30633.55,-0.1741,-70.4774,1.4019,0,0,270
30633.56,-0.1405,-70.4951,1.4019,0,0,270
30633.57,-0.1126,-70.4951,1.4019,0,0,270
30633.58,-0.0846,-70.4951,1.4019,0,0,270
30633.59,-0.023,-70.5305,1.4019,0,0,270
30633.6,0.005,-70.5658,1.4019,0,0,270
30633.61,0.005,-70.5835,1.4019,0,0,270
30633.62,0.0386,-70.5835,1.4019,0,0,270
30633.63,0.0777,-70.5835,1.4019,0,0,270
30633.64,0.1393,-70.5835,1.4019,0,0,270
30633.65,0.1393,-70.5835,1.4019,0,0,270
30633.66,0.1785,-70.6189,1.4019,0,0,270
30633.67,0.1785,-70.6189,1.4019,0,0,270
30633.68,0.2064,-70.6189,1.4019,0,0,270
30633.69,0.2064,-70.6189,1.4019,0,0,270
30633.7,0.1785,-70.6189,1.4019,0,0,270
30633.71,0.1393,-70.6189,1.4019,0,0,270
30633.72,0.0553,-70.5835,1.4019,0,0,270
30633.73,0.005,-70.5305,1.4019,0,0,270
30633.74,-0.2637,-70.4243,1.4019,0,0,270
30633.75,-0.3812,-70.3182,1.4019,0,0,270
30633.76,-0.4427,-70.2652,1.4019,0,0,270
30633.77,-0.6274,-70.0883,1.4019,0,0,270
30633.78,-0.7505,-69.9468,1.4019,0,0,270
30633.79,-0.8177,-69.8584,1.4019,0,0,270
30633.8,-0.9408,-69.6815,1.4019,0,0,270
30633.81,-1.0863,-69.4692,1.4019,0,0,270
30633.82,-1.2766,-69.2393,1.4019,0,0,270
30633.83,-1.5061,-69.0094,1.4019,0,0,270
30633.84,-1.8251,-68.7795,1.4019,0,0,270
30633.85,-2.2,-68.5319,1.4019,0,0,270
30633.86,-2.4183,-68.408,1.4019,0,0,270
30633.87,-3.6159,-67.7006,1.4019,0,0,270
30633.88,-4.4386,-67.1523,1.4019,0,0,270
30633.89,-5.3732,-66.4448,1.4019,0,0,270
30633.9,-5.8657,-66.0203,1.4019,0,0,270
30633.91,-6.8674,-65.0475,1.4019,0,0,270
30633.92,-7.9699,-63.9155,1.4019,0,0,270
30633.93,-9.1787,-62.5537,1.4019,0,0,270
30633.94,-10.4827,-60.8734,1.4019,0,0,270
30633.95,-11.2271,-59.8653,1.4019,0,0,270
30633.96,-12.6989,-57.6013,1.4019,0,0,270
30633.97,-15.7322,-52.0476,1.4019,0,0,270
30633.98,-17.1872,-48.8463,1.4019,0,0,270
30633.99,-18.6479,-45.3443,1.4019,0,0,270
30634,-19.4034,-43.5048,1.4019,0,0,270
30634.01,-20.8865,-39.7022,1.4019,0,0,270
30634.02,-22.2184,-35.6342,1.4019,0,0,270
30634.03,-23.3825,-31.3363,1.4019,0,0,270
30634.04,-24.2723,-26.7023,1.4019,0,0,270
30634.05,-24.6361,-24.2792,1.4019,0,0,270
30634.06,-25.7945,-14.2153,1.4019,0,0,270
30634.07,-26.0799,-9.0684,1.4019,0,0,270
30634.08,-26.0799,-3.8508,1.4019,0,0,270
30634.09,-25.7721,1.3492,1.4019,0,0,270
30634.1,-25.1733,6.5138,1.4019,0,0,270
30634.11,-24.7872,9.1314,1.4019,0,0,270
30634.12,-23.9029,14.2783,1.4019,0,0,270
30634.13,-22.7893,19.2837,1.4019,0,0,270
30634.14,-21.5245,24.0769,1.4019,0,0,270
30634.15,-20.8753,26.3231,1.4019,0,0,270
30634.16,-18.9277,32.5843,1.4019,0,0,270
30634.17,-17.7245,36.2986,1.4019,0,0,270
30634.18,-16.5716,39.6414,1.4019,0,0,270
30634.19,-15.4467,42.6658,1.4019,0,0,270
30634.2,-14.8759,44.0985,1.4019,0,0,270
30634.21,-13.1578,48.1488,1.4019,0,0,270
30634.22,-12.0329,50.5896,1.4019,0,0,270
30634.23,-11.4957,51.7215,1.4019,0,0,270
30634.24,-10.091,54.7637,1.4019,0,0,270
30634.25,-9.2683,56.5501,1.4019,0,0,270
30634.26,-8.5072,58.1065,1.4019,0,0,270
30634.27,-7.802,59.4684,1.4019,0,0,270
30634.28,-7.1752,60.6711,1.4019,0,0,270
30634.29,-6.5596,61.8208,1.4019,0,0,270
30634.3,-5.9944,62.8643,1.4019,0,0,270
30634.31,-5.1941,64.1908,1.4019,0,0,270
30634.32,-4.78,64.8452,1.4019,0,0,270
30634.33,-4.489,65.4112,1.4019,0,0,270
30634.34,-4.3994,65.6588,1.4019,0,0,270
30634.35,-4.3099,66.2779,1.4019,0,0,270
30634.36,-4.3099,66.437,1.4019,0,0,270
30634.37,-4.2819,66.72,1.4019,0,0,270
30634.38,-4.2539,66.9323,1.4019,0,0,270
30634.39,-4.0524,67.3391,1.4019,0,0,270
30634.4,-3.9741,67.4098,1.4019,0,0,270
30634.41,-3.8062,67.6044,1.4019,0,0,270
30634.42,-3.6047,67.7812,1.4019,0,0,270
30634.43,-3.3753,67.9758,1.4019,0,0,270
30634.44,-3.1458,68.2057,1.4019,0,0,270
30634.45,-2.9164,68.418,1.4019,0,0,270
30634.46,-2.8212,68.5064,1.4019,0,0,270
30634.47,-2.6477,68.7187,1.4019,0,0,270
30634.48,-2.463,68.9132,1.4019,0,0,270
30634.49,-2.2224,69.2139,1.4019,0,0,270
30634.5,-2.0825,69.3731,1.4019,0,0,270
30634.51,-2.0041,69.4615,1.4019,0,0,270
30634.52,-1.9426,69.5323,1.4019,0,0,270
30634.53,-1.9146,69.5499,1.4019,0,0,270
30634.54,-1.8418,69.6207,1.4019,0,0,270
30634.55,-1.7859,69.6914,1.4019,0,0,270
30634.56,-1.7243,69.7622,1.4019,0,0,270
30634.57,-1.6851,69.8683,1.4019,0,0,270
30634.58,-1.6851,69.9037,1.4019,0,0,270
30634.59,-1.6851,69.9037,1.4019,0,0,270
30634.6,-1.7747,69.9391,1.4019,0,0,270
30634.61,-1.8139,69.9744,1.4019,0,0,270
30634.62,-1.9706,69.9744,1.4019,0,0,270
30634.63,-2.0209,69.9744,1.4019,0,0,270
30634.64,-2.1608,69.9391,1.4019,0,0,270
30634.65,-2.1944,69.9391,1.4019,0,0,270
30634.66,-2.1944,69.9391,1.4019,0,0,270
30634.67,-2.1944,69.9391,1.4019,0,0,270
30634.68,-2.1944,69.9214,1.4019,0,0,270
30634.69,-2.1944,69.9214,1.4019,0,0,270
30634.7,-2.1944,69.886,1.4019,0,0,270
30634.71,-2.1944,69.886,1.4019,0,0,270
30634.72,-2.1328,69.8506,1.4019,0,0,270
30634.73,-2.1328,69.8506,1.4019,0,0,270
30634.74,-2.1328,69.8506,1.4019,0,0,270
30634.75,-2.1328,69.8506,1.4019,0,0,270
30634.76,-2.1328,69.8506,1.4019,0,0,270
30634.77,-2.1328,69.8506,1.4019,0,0,270
30634.78,-2.1328,69.8506,1.4019,0,0,270
30634.79,-2.1328,69.8506,1.4019,0,0,270
30634.8,-2.1328,69.8329,1.4019,0,0,270
30634.81,-2.1328,69.8329,1.4019,0,0,270
30634.82,-2.1049,69.8329,1.4019,0,0,270
30634.83,-2.1049,69.7976,1.4019,0,0,270
30634.84,-2.1049,69.7976,1.4019,0,0,270
30634.85,-2.1049,69.7976,1.4019,0,0,270
30634.86,-2.1049,69.7976,1.4019,0,0,270
30634.87,-2.1049,69.7976,1.4019,0,0,270
30634.88,-2.0713,69.7976,1.4019,0,0,270
30634.89,-2.0713,69.7976,1.4019,0,0,270
30634.9,-2.0713,69.7976,1.4019,0,0,270
30634.91,-2.0713,69.7976,1.4019,0,0,270
30634.92,-2.0713,69.7976,1.4019,0,0,270
30634.93,-2.0713,69.7976,1.4019,0,0,270
30634.94,-2.0713,69.7976,1.4019,0,0,270
30634.95,-2.0713,69.7976,1.4019,0,0,270
30634.96,-2.0713,69.7976,1.4019,0,0,270
30634.97,-2.0713,69.7976,1.4019,0,0,270
30634.98,-2.0713,69.7976,1.4019,0,0,270
