time,pos_x,pos_y,pressure
50818.11,-0.0006203761,-71.06105,0.4701857
50818.12,-0.0006203761,-71.06105,0.4692082
50818.13,-0.0006203761,-71.06105,0.4672532
50818.14,0.02735907,-71.06105,0.4682307
50818.15,0.02735907,-71.06105,0.4672532
50818.16,0.02735907,-71.06105,0.4672532
50818.17,0.02735907,-71.06105,0.4672532
50818.18,0.02735907,-71.06105,0.4682307
50818.19,-0.0006203761,-71.04337,0.4662757
50818.2,-0.0006203761,-71.04337,0.4662757
50818.21,-0.0006203761,-71.008,0.4682307
50818.21,-0.03420244,-71.008,0.4692082
50818.23,-0.03420244,-70.97262,0.4692082
50818.24,-0.06218188,-70.97262,0.4692082
50818.25,-0.06218188,-70.95493,0.4672532
50818.26,-0.06218188,-70.90187,0.4672532
50818.27,-0.09016613,-70.90187,0.4682307
50818.28,-0.09016613,-70.88419,0.4682307
50818.29,-0.1349342,-70.84881,0.4682307
50818.3,-0.1349342,-70.84881,0.4682307
50818.31,-0.1629184,-70.84881,0.4662757
50818.32,-0.1629184,-70.81343,0.4652981
50818.33,-0.1629184,-70.81343,0.4662757
50818.34,-0.1629184,-70.81343,0.4652981
50818.35,-0.1629184,-70.81343,0.4652981
50818.36,-0.1629184,-70.81343,0.4672532
50818.37,-0.1909027,-70.81343,0.4662757
50818.38,-0.1909027,-70.81343,0.4672532
50818.39,-0.1909027,-70.81343,0.4682307
50818.4,-0.1909027,-70.81343,0.4672532
50818.41,-0.22448,-70.81343,0.4682307
50818.42,-0.22448,-70.84881,0.4682307
50818.43,-0.22448,-70.88419,0.4682307
50818.44,-0.22448,-70.91956,0.4662757
50818.45,-0.2524594,-70.95493,0.4662757
50818.46,-0.2524594,-70.9903,0.4652981
50818.46,-0.2524594,-71.02568,0.4652981
50818.48,-0.3028301,-71.06105,0.4672532
50818.49,-0.4315461,-71.06105,0.4672532
50818.5,-0.6218236,-71.008,0.4672532
50818.51,-0.9296263,-70.88419,0.4682307
50818.52,-1.388536,-70.65425,0.4682307
50818.53,-1.981755,-70.30051,0.4672532
50818.54,-2.776448,-69.76991,0.4682307
50818.55,-3.862154,-69.06243,0.4662757
50818.56,-5.048592,-68.01891,0.4672532
50818.57,-6.268612,-66.5332,0.4672532
50818.58,-7.455054,-64.53458,0.4662757
50818.59,-8.641498,-61.89923,0.4662757
50818.6,-9.833533,-58.75096,0.4672532
50818.61,-11.04796,-55.08977,0.4672532
50818.62,-12.27917,-51.07484,0.4682307
50818.63,-13.52717,-46.77692,0.4692082
50818.64,-14.78077,-42.28444,0.4682307
50818.65,-16.03436,-37.63278,0.4672532
50818.66,-17.24319,-32.80425,0.4692082
50818.67,-18.40165,-27.72811,0.4692082
50818.68,-19.31387,-22.26285,0.4711632
50818.69,-19.91269,-16.39079,0.4740958
50818.7,-20.15333,-10.23575,0.4750733
50818.71,-20.11415,-3.868455,0.4780059
50818.71,-19.76159,2.569582,0.483871
50818.73,-19.16836,8.91918,0.4868035
50818.74,-18.25055,15.12728,0.4897361
50818.75,-17.16484,21.10547,0.4936461
50818.76,-15.94482,26.88909,0.4946237
50818.77,-14.51774,32.37204,0.4956012
50818.78,-12.99551,37.57198,0.4965787
50818.79,-11.32778,42.4182,0.4975562
50818.8,-9.626467,46.78687,0.4965787
50818.81,-8.160201,50.53649,0.4985337
50818.82,-6.856238,53.75552,0.4965787
50818.83,-5.764934,56.39087,0.4946237
50818.84,-4.79116,58.61942,0.4926686
50818.85,-3.96289,60.5296,0.4887586
50818.86,-3.358476,62.12142,0.4868035
50818.87,-2.977916,63.55406,0.4868035
50818.88,-2.776448,64.84521,0.4868035
50818.89,-2.670113,65.94179,0.4868035
50818.9,-2.591763,66.80846,0.4868035
50818.91,-2.552588,67.44519,0.485826
50818.92,-2.502222,67.85198,0.485826
50818.93,-2.390295,68.11729,0.487781
50818.94,-2.239192,68.36491,0.487781
50818.95,-2.02093,68.59484,0.4868035
50818.96,-1.685143,68.96626,0.4868035
50818.96,-1.573216,69.09007,0.4868035
50818.98,-1.394129,69.30231,0.4868035
50818.99,-1.276604,69.47917,0.485826
50819,-1.237429,69.65605,0.485826
50819.01,-1.20945,69.79755,0.485826
50819.02,-1.20945,69.93904,0.485826
50819.03,-1.237429,70.04517,0.4848485
50819.04,-1.237429,70.11591,0.483871
50819.05,-1.198254,70.22203,0.483871
50819.06,-0.98559,70.46965,0.483871
