time,pos_x,pos_y,pressure
1343.22,0.1169048,-70.07059,0.7174975
1343.23,0.07772975,-70.10596,0.718475
1343.24,-0.02300682,-70.1767,0.7194526
1343.25,-0.09016613,-70.21207,0.7194526
1343.26,-0.1629184,-70.24745,0.7214077
1343.27,-0.2412686,-70.28282,0.7243402
1343.28,-0.3028301,-70.33588,0.7272727
1343.29,-0.3308095,-70.35357,0.7302053
1343.3,-0.3699846,-70.38895,0.7321603
1343.31,-0.4035667,-70.38895,0.7350929
1343.32,-0.4035667,-70.42432,0.7360704
1343.33,-0.4035667,-70.42432,0.7380254
1343.34,-0.4035667,-70.42432,0.7390029
1343.35,-0.4035667,-70.42432,0.7399805
1343.36,-0.4035667,-70.42432,0.740958
1343.37,-0.4035667,-70.42432,0.7419355
1343.38,-0.4035667,-70.42432,0.7419355
1343.39,-0.4035667,-70.42432,0.742913
1343.4,-0.4035667,-70.42432,0.7438905
1343.41,-0.4035667,-70.42432,0.744868
1343.42,-0.4035667,-70.42432,0.7458456
1343.43,-0.4035667,-70.42432,0.744868
1343.44,-0.4035667,-70.42432,0.7458456
1343.45,-0.3140209,-70.35357,0.744868
1343.46,-0.2132843,-70.26514,0.744868
1343.47,-0.0733775,-70.10596,0.7458456
1343.48,0.1169048,-69.84066,0.7458456
1343.49,0.3575482,-69.45155,0.7458456
1343.5,0.6317737,-68.90324,0.7468231
1343.51,1.012329,-68.19578,0.7468231
1343.52,1.460043,-67.31142,0.7478006
1343.53,1.974912,-66.25021,0.7487781
1343.54,2.534554,-65.01212,0.7487781
1343.55,3.20053,-63.63255,0.7478006
1343.56,3.530719,-62.8897,0.7487781
1343.57,4.616425,-60.41353,0.7487781
1343.58,4.963403,-59.49381,0.7487781
1343.59,5.937182,-56.55778,0.7497556
1343.6,6.575174,-54.41767,0.7497556
1343.61,7.241145,-52.11837,0.7507331
1343.62,7.929508,-49.69526,0.7526882
1343.63,8.595479,-47.11296,0.7546432
1343.64,9.222275,-44.30075,0.7575758
1343.65,9.490903,-42.86811,0.7595308
1343.66,10.25762,-38.26951,0.7614858
1343.67,10.69413,-34.94437,0.7624633
1343.68,11.11946,-31.58386,0.7634408
1343.69,11.50002,-27.99341,0.7644184
1343.7,11.77984,-24.43834,0.7653959
1343.71,11.93654,-20.79483,0.7663734
1343.72,11.93654,-17.11596,0.7663734
1343.73,11.83581,-13.36634,0.7663734
1343.74,11.63993,-9.528267,0.7673509
1343.75,11.42167,-5.637154,0.7683284
1343.76,11.16983,-1.657588,0.771261
1343.77,10.94038,2.339648,0.7741935
1343.78,10.71093,6.40764,0.7790811
1343.79,10.46468,10.49332,0.7820137
1343.8,10.21844,14.54362,0.7859238
1343.81,9.899446,18.52317,0.7869013
1343.82,9.518892,22.43198,0.7878788
1343.83,9.043193,26.1993,0.7888563
1343.84,8.76337,28.09179,0.7878788
1343.85,7.76721,33.45094,0.7888563
1343.86,7.420232,35.18425,0.7888563
1343.87,6.675905,38.56245,0.7888563
1343.88,5.489468,43.21411,0.7898338
1343.89,4.571652,46.07939,0.7898338
1343.9,3.581085,48.67937,0.7908114
1343.91,2.562538,51.08479,0.7927664
1343.92,1.510409,53.26028,0.799609
1343.93,0.5366349,55.22353,0.8074291
1343.94,-0.3811802,57.08065,0.8152493
1343.95,-1.159084,58.70784,0.8220919
1343.96,-1.78588,60.15817,0.827957
1343.97,-2.323135,61.467,0.829912
1343.98,-2.776448,62.61666,0.8308895
1343.99,-3.184987,63.6425,0.829912
1344,-3.554351,64.54453,0.8308895
1344.01,-3.850958,65.35813,0.8347996
1344.02,-4.08041,66.10098,0.8387097
1344.03,-4.220322,66.77309,0.8445748
1344.04,-4.259497,67.33907,0.8484849
1344.05,-4.209131,67.85198,0.8514174
1344.06,-4.052431,68.27647,0.8533725
1344.07,-3.834169,68.68327,0.8572825
1344.08,-3.576733,69.07238,0.8602151
1344.09,-3.308105,69.42612,0.8611926
1344.1,-3.017091,69.76218,0.8631476
1344.11,-2.731675,70.08054,0.8651026
1344.12,-2.44066,70.43428,0.8680352
1344.13,-2.149646,70.80569,0.8699902
1344.14,-1.853039,71.15943,0.8729228
1344.15,-1.416516,71.58392,0.8768328
1344.16,-1.2878,71.69004,0.8787879
1344.18,-0.8065081,72.00842,0.8817204
1344.19,-0.4931076,72.18528,0.8836755
1344.2,-0.3811802,72.23833,0.884653
1344.21,-0.09016613,72.36214,0.884653
1344.22,0.1057092,72.41521,0.884653
1344.23,0.3071823,72.45058,0.886608
1344.24,0.5142485,72.45058,0.886608
1344.25,0.704526,72.45058,0.886608
1344.26,0.8948035,72.41521,0.886608
1344.27,1.040313,72.36214,0.888563
1344.28,1.163431,72.2914,0.8905181
1344.29,1.252977,72.14991,0.8934506
1344.3,1.331327,71.99073,0.8944281
1344.31,1.409677,71.79617,0.8973607
1344.32,1.488027,71.54855,0.9022483
1344.33,1.56078,71.26556,0.9042033
1344.34,1.611145,70.9295,0.9071359
1344.35,1.667109,70.57578,0.9081134
1344.36,1.700691,70.27509,0.9090909
1344.37,1.790232,69.9921,0.9100685
1344.38,1.846196,69.76218,0.913001
1344.39,1.918948,69.53224,0.913001
1344.4,1.946932,69.40843,0.9139785
1344.41,2.036474,69.12545,0.9169111
1344.42,2.098035,68.93089,0.9178886
1344.43,2.165194,68.75402,0.9178886
1344.44,2.243544,68.55946,0.9178886
1344.45,2.333085,68.36491,0.9178886
1344.46,2.445013,68.15266,0.9178886
1344.47,2.534554,67.92274,0.9178886
1344.48,2.624099,67.63974,0.9188661
1344.49,2.70245,67.3037,0.9188661
1344.5,2.803186,66.91458,0.9208211
1344.51,2.915113,66.43703,0.9208211
1344.52,3.032639,65.88873,0.9208211
1344.53,3.17255,65.30508,0.9217986
1344.54,3.340441,64.68603,0.9217986
1344.55,3.508332,64.04929,0.9208211
1344.56,3.676224,63.35951,0.9198436
1344.57,3.849712,62.61666,0.9208211
1344.58,4.006413,61.82074,0.9208211
1344.59,4.168711,61.00715,0.9227762
1344.6,4.297427,60.17587,0.9227762
1344.61,4.437338,59.25615,0.9227762
1344.62,4.594039,58.17724,0.9237537
1344.63,4.73395,56.93916,0.9237537
1344.64,4.885053,55.45346,0.9237537
1344.65,4.963403,53.79089,0.9247312
1344.66,5.013769,51.8807,0.9237537
1344.67,4.974594,49.65214,0.9237537
1344.68,4.812301,47.08755,0.9227762
1344.69,4.515688,44.11614,0.9217986
1344.7,4.017608,40.77332,0.9188661
1344.71,3.351632,37.04137,0.9139785
1344.72,2.467399,32.84957,0.911046
1344.73,1.359306,28.28636,0.9081134
1344.74,0.08892057,23.38707,0.9081134
1344.75,-1.315779,18.2225,0.9071359
1344.76,-3.666278,10.03346,0.9071359
1344.77,-4.472161,7.185864,0.9061583
1344.78,-6.123107,1.526053,0.9032258
1344.79,-8.641498,-7.15822,0.9002932
1344.8,-9.464169,-10.07657,0.8973607
1344.81,-12.09449,-18.84928,0.888563
1344.82,-12.94514,-21.69687,0.8856305
1344.83,-15.3628,-30.06278,0.8739003
1344.84,-16.1295,-32.69813,0.8719453
1344.85,-18.20018,-40.26813,0.8621701
1344.86,-19.47616,-44.95517,0.8611926
1344.87,-20.65701,-49.32383,0.856305
1344.88,-21.72593,-53.35645,0.8533725
1344.89,-22.66612,-57.10608,0.8475074
1344.9,-23.46641,-60.50196,0.8406647
1344.91,-24.12119,-63.59718,0.8328446
1344.92,-24.4178,-65.01212,0.829912
1344.93,-25.22369,-68.93862,0.8240469
1344.94,-25.74415,-71.25561,0.8240469
1344.95,-26.20306,-73.37804,0.8230694
1344.96,-26.60601,-75.25285,0.8250244
1344.97,-26.925,-76.9508,0.8240469
1344.98,-27.15445,-78.48956,0.8230694
