experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,start_movement_timeout,middle_movement_timeout,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath,tablet_pixels_relpath
High,P_180717110741,1,1,1,1,167.4052,169.89,Example,0,FFFF00,TriangleTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,5,1,MiddleMovedEarly,,,DetectNeg,IntermediateCircle,168.52,169.53,,0.5071694,,,High/P_180717110741/S001/visual_pointer_movement_T001.csv,High/P_180717110741/S001/collision_pointer_movement_T001.csv,High/P_180717110741/S001/tablet_pixels_T001.csv
High,P_180717110741,1,2,1,2,172.1659,175.2,Example,0,FF00FF,TriangleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|SquareTarget|CircleTarget,5,1,Success,FF00FF,TriangleTarget,DetectNeg,,172.81,173.37,174.77,0.5349411,0.3017204,1,High/P_180717110741/S001/visual_pointer_movement_T002.csv,High/P_180717110741/S001/collision_pointer_movement_T002.csv,High/P_180717110741/S001/tablet_pixels_T002.csv
High,P_180717110741,1,3,1,3,178.3299,181.02,Example,0,00FFFF,SquareTarget,00FFFF|FFFF00|FF00FF,SquareTarget|CircleTarget|TriangleTarget,5,1,Success,00FFFF,SquareTarget,DetectNeg,,179.08,179.68,180.54,0.4983021,0.3158889,2,High/P_180717110741/S001/visual_pointer_movement_T003.csv,High/P_180717110741/S001/collision_pointer_movement_T003.csv,High/P_180717110741/S001/tablet_pixels_T003.csv
High,P_180717110741,1,4,1,4,183.491,185.83,Example,0,FFFF00,TriangleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,0.6,1,Success,FFFF00,SquareTarget,DetectNeg,,184.12,184.68,185.43,0.3222966,0.3495215,3,High/P_180717110741/S001/visual_pointer_movement_T004.csv,High/P_180717110741/S001/collision_pointer_movement_T004.csv,High/P_180717110741/S001/tablet_pixels_T004.csv
High,P_180717110741,1,5,2,1,198.0569,200.44,Practice,0,FFFF00,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,FFFF00,TriangleTarget,DetectNeg,,198.93,199.32,199.78,0.3127234,0.369277,1,High/P_180717110741/S001/visual_pointer_movement_T005.csv,High/P_180717110741/S001/collision_pointer_movement_T005.csv,High/P_180717110741/S001/tablet_pixels_T005.csv
High,P_180717110741,1,6,2,2,205.3563,206.82,Practice,0,00FFFF,CircleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,1,1,MiddleMovedEarly,,,DetectNeg,IntermediateCircle,206.04,206.51,,0.585579,,,High/P_180717110741/S001/visual_pointer_movement_T006.csv,High/P_180717110741/S001/collision_pointer_movement_T006.csv,High/P_180717110741/S001/tablet_pixels_T006.csv
High,P_180717110741,1,7,2,3,211.9062,214.43,Practice,0,00FFFF,SquareTarget,FFFF00|FF00FF|00FFFF,SquareTarget|TriangleTarget|CircleTarget,1,1,Success,00FFFF,CircleTarget,DetectNeg,,212.52,213.01,213.93,0.4089003,0.5439911,2,High/P_180717110741/S001/visual_pointer_movement_T007.csv,High/P_180717110741/S001/collision_pointer_movement_T007.csv,High/P_180717110741/S001/tablet_pixels_T007.csv
High,P_180717110741,1,8,2,4,218.7881,221.29,Practice,0,00FFFF,CircleTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,00FFFF,TriangleTarget,DetectNeg,,219.39,219.84,220.76,0.5811517,0.5630106,3,High/P_180717110741/S001/visual_pointer_movement_T008.csv,High/P_180717110741/S001/collision_pointer_movement_T008.csv,High/P_180717110741/S001/tablet_pixels_T008.csv
High,P_180717110741,1,9,2,5,225.7301,227.78,Practice,0,FF00FF,CircleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|TriangleTarget|CircleTarget,1,1,Success,FF00FF,CircleTarget,DetectNeg,,226.21,226.67,227.35,0.469874,0.3021196,4,High/P_180717110741/S001/visual_pointer_movement_T009.csv,High/P_180717110741/S001/collision_pointer_movement_T009.csv,High/P_180717110741/S001/tablet_pixels_T009.csv
High,P_180717110741,1,10,2,6,232.239,234.42,Practice,0,FF00FF,TriangleTarget,FFFF00|FF00FF|00FFFF,SquareTarget|TriangleTarget|CircleTarget,1,1,Success,FF00FF,TriangleTarget,DetectNeg,,232.65,233.14,234.02,0.5181031,0.5582019,5,High/P_180717110741/S001/visual_pointer_movement_T010.csv,High/P_180717110741/S001/collision_pointer_movement_T010.csv,High/P_180717110741/S001/tablet_pixels_T010.csv
