experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath
High,P_180612115343,1,1,1,1,43.41042,45.23626,Example,0,FFFF00,SquareTarget,FFFF00|00FFFF|FF00FF,SquareTarget|TriangleTarget|CircleTarget,MouseLifted,,,DetectPos,VisualPointer,44,44.4,,0.4090471,0.5345414,,High/P_180612115343/S001/visual_pointer_movement_T001.csv,High/P_180612115343/S001/collision_pointer_movement_T001.csv
High,P_180612115343,1,2,1,2,48.30138,50.6,Example,0,FFFF00,TriangleTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|SquareTarget|CircleTarget,Success,FFFF00,SquareTarget,DetectPos,,48.62,48.96,50.26,0.5405876,0.3934432,1,High/P_180612115343/S001/visual_pointer_movement_T002.csv,High/P_180612115343/S001/collision_pointer_movement_T002.csv
High,P_180612115343,1,3,1,3,57.84498,61.34,Example,0,00FFFF,CircleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,Success,00FFFF,CircleTarget,DetectPos,,58.74,59.14,60.98,0.5237431,0.5171474,2,High/P_180612115343/S001/visual_pointer_movement_T003.csv,High/P_180612115343/S001/collision_pointer_movement_T003.csv
High,P_180612115343,1,4,1,4,68.27,70.36,Example,0,FF00FF,TriangleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,Success,FF00FF,CircleTarget,DetectPos,,68.68,69.06,70.04,0.465038,0.5179869,3,High/P_180612115343/S001/visual_pointer_movement_T004.csv,High/P_180612115343/S001/collision_pointer_movement_T004.csv
High,P_180612115343,1,5,2,1,78.4734,79.46424,Practice,0,FFFF00,SquareTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,TimeoutStartMoved,,,DetectNeg,VisualPointer,78.96,,,0.4679168,,,High/P_180612115343/S001/visual_pointer_movement_T005.csv,High/P_180612115343/S001/collision_pointer_movement_T005.csv
High,P_180612115343,1,6,2,2,83.15817,85.93999,Practice,0,FFFF00,TriangleTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,Success,FFFF00,TriangleTarget,DetectNeg,,84.04,84.54,85.54,0.3504429,0.308584,1,High/P_180612115343/S001/visual_pointer_movement_T006.csv,High/P_180612115343/S001/collision_pointer_movement_T006.csv
High,P_180612115343,1,7,2,3,88.49908,90.93999,Practice,0,00FFFF,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,Success,00FFFF,CircleTarget,DetectNeg,,89.2,89.6,90.5,0.573232,0.3650228,2,High/P_180612115343/S001/visual_pointer_movement_T007.csv,High/P_180612115343/S001/collision_pointer_movement_T007.csv
High,P_180612115343,1,8,2,4,93.31242,95.68,Practice,0,00FFFF,TriangleTarget,00FFFF|FFFF00|FF00FF,CircleTarget|TriangleTarget|SquareTarget,Success,00FFFF,CircleTarget,DetectNeg,,93.93999,94.38,95.24,0.4281045,0.3051045,3,High/P_180612115343/S001/visual_pointer_movement_T008.csv,High/P_180612115343/S001/collision_pointer_movement_T008.csv
High,P_180612115343,1,9,2,5,98.3789,100.66,Practice,0,FF00FF,SquareTarget,FF00FF|00FFFF|FFFF00,SquareTarget|TriangleTarget|CircleTarget,Success,FF00FF,SquareTarget,DetectNeg,,98.96,99.4,100.22,0.598391,0.4222941,4,High/P_180612115343/S001/visual_pointer_movement_T009.csv,High/P_180612115343/S001/collision_pointer_movement_T009.csv
High,P_180612115343,1,10,2,6,103.3823,105.58,Practice,0,FFFF00,SquareTarget,FFFF00|00FFFF|FF00FF,SquareTarget|TriangleTarget|CircleTarget,Success,FFFF00,SquareTarget,DetectNeg,,103.96,104.4,105.1,0.4792621,0.3093463,5,High/P_180612115343/S001/visual_pointer_movement_T010.csv,High/P_180612115343/S001/collision_pointer_movement_T010.csv
