experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,start_movement_timeout,middle_movement_timeout,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath,tablet_pixels_relpath
High,P_180717111850,1,1,1,1,1123.167,1125.165,Example,0,00FFFF,CircleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,5,1,TimeoutStart,,,,Start,,,,,,,High/P_180717111850/S001/visual_pointer_movement_T001.csv,High/P_180717111850/S001/collision_pointer_movement_T001.csv,High/P_180717111850/S001/tablet_pixels_T001.csv
High,P_180717111850,1,2,1,2,1126.731,1127.037,Example,0,FF00FF,SquareTarget,FF00FF|FFFF00|00FFFF,CircleTarget|SquareTarget|TriangleTarget,5,1,MouseLifted,,,,VisualPointer,1126.8,,,0.5568107,,,High/P_180717111850/S001/visual_pointer_movement_T002.csv,High/P_180717111850/S001/collision_pointer_movement_T002.csv,High/P_180717111850/S001/tablet_pixels_T002.csv
High,P_180717111850,1,3,1,3,1128.899,1132.38,Example,0,FF00FF,CircleTarget,FFFF00|FF00FF|00FFFF,CircleTarget|TriangleTarget|SquareTarget,5,1,WrongTarget,FFFF00,CircleTarget,DetectPos,,1129.77,1130.54,1131.94,0.5242919,0.593154,,High/P_180717111850/S001/visual_pointer_movement_T003.csv,High/P_180717111850/S001/collision_pointer_movement_T003.csv,High/P_180717111850/S001/tablet_pixels_T003.csv
High,P_180717111850,1,4,1,4,1134.988,1137.52,Example,0,FFFF00,SquareTarget,FFFF00|FF00FF|00FFFF,CircleTarget|SquareTarget|TriangleTarget,0.6,1,Success,FFFF00,CircleTarget,DetectNeg,,1135.69,1136.09,1137.12,0.4111837,0.4371426,1,High/P_180717111850/S001/visual_pointer_movement_T004.csv,High/P_180717111850/S001/collision_pointer_movement_T004.csv,High/P_180717111850/S001/tablet_pixels_T004.csv
High,P_180717111850,1,5,2,1,1150.522,1151.389,Practice,0,00FFFF,SquareTarget,00FFFF|FF00FF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,1,1,MouseLifted,,,,VisualPointer,,,,,,,High/P_180717111850/S001/visual_pointer_movement_T005.csv,High/P_180717111850/S001/collision_pointer_movement_T005.csv,High/P_180717111850/S001/tablet_pixels_T005.csv
High,P_180717111850,1,6,2,2,1155.853,1159.71,Practice,0,FFFF00,CircleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,FFFF00,CircleTarget,DetectPos,,1157.65,1158.18,1159.24,0.4440855,0.4615882,1,High/P_180717111850/S001/visual_pointer_movement_T006.csv,High/P_180717111850/S001/collision_pointer_movement_T006.csv,High/P_180717111850/S001/tablet_pixels_T006.csv
High,P_180717111850,1,7,2,3,1163.861,1166.07,Practice,0,FF00FF,TriangleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,1,1,WrongTarget,FFFF00,TriangleTarget,DetectPos,,1164.32,1164.75,1165.56,0.3819844,0.4579383,,High/P_180717111850/S001/visual_pointer_movement_T007.csv,High/P_180717111850/S001/collision_pointer_movement_T007.csv,High/P_180717111850/S001/tablet_pixels_T007.csv
High,P_180717111850,1,8,2,4,1170.505,1173.39,Practice,0,FF00FF,SquareTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,FF00FF,CircleTarget,DetectPos,,1171.4,1171.87,1172.87,0.3069868,0.436311,2,High/P_180717111850/S001/visual_pointer_movement_T008.csv,High/P_180717111850/S001/collision_pointer_movement_T008.csv,High/P_180717111850/S001/tablet_pixels_T008.csv
High,P_180717111850,1,9,2,5,1178.221,1180.72,Practice,0,FF00FF,TriangleTarget,00FFFF|FF00FF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,1,1,Success,FF00FF,CircleTarget,DetectPos,,1178.95,1179.42,1180.17,0.583138,0.3347372,3,High/P_180717111850/S001/visual_pointer_movement_T009.csv,High/P_180717111850/S001/collision_pointer_movement_T009.csv,High/P_180717111850/S001/tablet_pixels_T009.csv
High,P_180717111850,1,10,2,6,1185.058,1187.24,Practice,0,FF00FF,SquareTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,FF00FF,SquareTarget,DetectPos,,1185.68,1186.11,1186.9,0.5307043,0.3384691,4,High/P_180717111850/S001/visual_pointer_movement_T010.csv,High/P_180717111850/S001/collision_pointer_movement_T010.csv,High/P_180717111850/S001/tablet_pixels_T010.csv
