experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,start_movement_timeout,middle_movement_timeout,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath,tablet_pixels_relpath
High,P_180716154854,1,1,1,1,298.9234,302.31,Example,0,00FFFF,SquareTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,5,1,Success,00FFFF,TriangleTarget,DetectNeg0|DetectNeg1,,300.05,300.49,301.85,0.3471168,0.4093701,1,High/P_180716154854/S001/visual_pointer_movement_T001.csv,High/P_180716154854/S001/collision_pointer_movement_T001.csv,High/P_180716154854/S001/tablet_pixels_T001.csv
High,P_180716154854,1,2,1,2,304.5722,306.61,Example,0,00FFFF,CircleTarget,00FFFF|FFFF00|FF00FF,SquareTarget|TriangleTarget|CircleTarget,5,1,Success,00FFFF,SquareTarget,DetectNeg0|DetectNeg1,,304.95,305.47,306.31,0.3780125,0.3591865,2,High/P_180716154854/S001/visual_pointer_movement_T002.csv,High/P_180716154854/S001/collision_pointer_movement_T002.csv,High/P_180716154854/S001/tablet_pixels_T002.csv
High,P_180716154854,1,3,1,3,308.6369,309.31,Example,0,00FFFF,TriangleTarget,FF00FF|FFFF00|00FFFF,CircleTarget|SquareTarget|TriangleTarget,5,1,HitObstacle,,,DetectNeg0,Obstacle0,309.16,,,0.5587471,,,High/P_180716154854/S001/visual_pointer_movement_T003.csv,High/P_180716154854/S001/collision_pointer_movement_T003.csv,High/P_180716154854/S001/tablet_pixels_T003.csv
High,P_180716154854,1,4,1,4,311.5363,313.8763,Example,0,FFFF00,TriangleTarget,FFFF00|FF00FF|00FFFF,SquareTarget|TriangleTarget|CircleTarget,0.6,1,TimeoutStartMoved,,,DetectPos0|DetectPos1,VisualPointer,313.27,,,0.4840792,,,High/P_180716154854/S001/visual_pointer_movement_T004.csv,High/P_180716154854/S001/collision_pointer_movement_T004.csv,High/P_180716154854/S001/tablet_pixels_T004.csv
High,P_180716154854,1,5,2,1,326.4124,329.03,Practice,0,00FFFF,SquareTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,00FFFF,SquareTarget,DetectNeg0|DetectNeg1,,326.9,327.39,328.03,0.5145222,0.3660791,1,High/P_180716154854/S001/visual_pointer_movement_T005.csv,High/P_180716154854/S001/collision_pointer_movement_T005.csv,High/P_180716154854/S001/tablet_pixels_T005.csv
High,P_180716154854,1,6,2,2,333.1507,335.16,Practice,0,00FFFF,CircleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,00FFFF,SquareTarget,DetectPos0|DetectPos1,,333.56,333.97,334.89,0.376108,0.5806472,2,High/P_180716154854/S001/visual_pointer_movement_T006.csv,High/P_180716154854/S001/collision_pointer_movement_T006.csv,High/P_180716154854/S001/tablet_pixels_T006.csv
High,P_180716154854,1,7,2,3,339.3579,341.39,Practice,0,FFFF00,SquareTarget,00FFFF|FFFF00|FF00FF,SquareTarget|CircleTarget|TriangleTarget,1,1,Success,FFFF00,CircleTarget,DetectNeg0|DetectNeg1,,339.68,340.11,341,0.5698516,0.5403829,3,High/P_180716154854/S001/visual_pointer_movement_T007.csv,High/P_180716154854/S001/collision_pointer_movement_T007.csv,High/P_180716154854/S001/tablet_pixels_T007.csv
High,P_180716154854,1,8,2,4,345.506,347.9817,Practice,0,FFFF00,CircleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|CircleTarget|TriangleTarget,1,1,TimeoutMiddleMoved,,,DetectNeg0|DetectNeg1,VisualPointer,345.81,346.22,346.98,0.543874,0.4526963,,High/P_180716154854/S001/visual_pointer_movement_T008.csv,High/P_180716154854/S001/collision_pointer_movement_T008.csv,High/P_180716154854/S001/tablet_pixels_T008.csv
High,P_180716154854,1,9,2,5,351.9654,353.74,Practice,0,00FFFF,TriangleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,00FFFF,CircleTarget,DetectNeg0|DetectNeg1,,352.28,352.64,353.38,0.4226122,0.4119229,4,High/P_180716154854/S001/visual_pointer_movement_T009.csv,High/P_180716154854/S001/collision_pointer_movement_T009.csv,High/P_180716154854/S001/tablet_pixels_T009.csv
High,P_180716154854,1,10,2,6,357.966,360.12,Practice,0,FFFF00,CircleTarget,FFFF00|FF00FF|00FFFF,SquareTarget|CircleTarget|TriangleTarget,1,1,Success,FFFF00,SquareTarget,DetectNeg0|DetectNeg1,,358.27,358.76,359.45,0.4824603,0.3623535,5,High/P_180716154854/S001/visual_pointer_movement_T010.csv,High/P_180716154854/S001/collision_pointer_movement_T010.csv,High/P_180716154854/S001/tablet_pixels_T010.csv
