time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
614.7233,0.7969,-67.8672,1.4019,0,0,270
614.7331,0.7969,-67.8672,1.4019,0,0,270
614.7409,0.7969,-67.8672,1.4019,0,0,270
614.7509,0.7969,-67.8672,1.4019,0,0,270
614.7584,0.7969,-67.8672,1.4019,0,0,270
614.7689,0.7969,-67.8672,1.4019,0,0,270
614.7771,0.7969,-67.8672,1.4019,0,0,270
614.7863,0.7969,-67.8672,1.4019,0,0,270
614.7948,0.7969,-67.8672,1.4019,0,0,270
614.8039,0.7969,-67.8672,1.4019,0,0,270
614.812,0.7969,-67.8672,1.4019,0,0,270
614.8217,0.7969,-67.8672,1.4019,0,0,270
614.8312,0.7969,-67.8672,1.4019,0,0,270
614.8396,0.7969,-67.8672,1.4019,0,0,270
614.8499,0.7969,-67.8672,1.4019,0,0,270
614.8572,0.7969,-67.8672,1.4019,0,0,270
614.8668,0.7969,-67.8672,1.4019,0,0,270
614.8743,0.7969,-67.8672,1.4019,0,0,270
614.8842,0.7969,-67.8672,1.4019,0,0,270
614.8932,0.7969,-67.8672,1.4019,0,0,270
614.9023,0.7969,-67.8672,1.4019,0,0,270
614.9103,0.7969,-67.8672,1.4019,0,0,270
614.9204,0.7969,-67.8672,1.4019,0,0,270
614.9277,0.7969,-67.8672,1.4019,0,0,270
614.9375,0.7969,-67.8672,1.4019,0,0,270
614.9451,0.7969,-67.8672,1.4019,0,0,270
614.9561,0.7969,-67.8672,1.4019,0,0,270
614.967,0.7969,-67.8672,1.4019,0,0,270
614.9757,0.7969,-67.8672,1.4019,0,0,270
614.9883,0.7969,-67.8672,1.4019,0,0,270
614.9974,0.7969,-67.8672,1.4019,0,0,270
615.0087,0.7969,-67.8672,1.4019,0,0,270
615.0181,0.7969,-67.8672,1.4019,0,0,270
615.0263,0.7969,-67.8672,1.4019,0,0,270
615.0358,0.7969,-67.8672,1.4019,0,0,270
615.0441,0.7969,-67.8672,1.4019,0,0,270
615.0539,0.7969,-67.8672,1.4019,0,0,270
615.0615,0.7969,-67.8672,1.4019,0,0,270
