experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath
High,P_180612120357,1,1,1,1,254.9948,258.4352,Example,0,FFFF00,CircleTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|SquareTarget|CircleTarget,MouseLifted,,,DetectPos,VisualPointer,255.56,256,258.38,0.3264953,0.5231566,,High/P_180612120357/S001/visual_pointer_movement_T001.csv,High/P_180612120357/S001/collision_pointer_movement_T001.csv
High,P_180612120357,1,2,1,2,275.2959,277.82,Example,0,00FFFF,SquareTarget,FFFF00|00FFFF|FF00FF,SquareTarget|CircleTarget|TriangleTarget,Success,00FFFF,CircleTarget,DetectPos,,275.92,276.32,277.38,0.4280396,0.5872812,1,High/P_180612120357/S001/visual_pointer_movement_T002.csv,High/P_180612120357/S001/collision_pointer_movement_T002.csv
High,P_180612120357,1,3,1,3,285.0371,285.7,Example,0,FF00FF,CircleTarget,FF00FF|00FFFF|FFFF00,SquareTarget|TriangleTarget|CircleTarget,HitObstacle,,,DetectPos,Obstacle,285.4,,,0.5109678,,,High/P_180612120357/S001/visual_pointer_movement_T003.csv,High/P_180612120357/S001/collision_pointer_movement_T003.csv
High,P_180612120357,1,4,1,4,294.6486,295.3694,Example,0,FF00FF,TriangleTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,294.86,,,0.5455714,,,High/P_180612120357/S001/visual_pointer_movement_T004.csv,High/P_180612120357/S001/collision_pointer_movement_T004.csv
High,P_180612120357,1,5,2,1,305.0522,306.3404,Practice,0,00FFFF,CircleTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|CircleTarget|SquareTarget,TimeoutStartMoved,,,DetectNeg,VisualPointer,305.84,,,0.351367,,,High/P_180612120357/S001/visual_pointer_movement_T005.csv,High/P_180612120357/S001/collision_pointer_movement_T005.csv
High,P_180612120357,1,6,2,2,314.6559,315.8072,Practice,0,00FFFF,CircleTarget,FFFF00|00FFFF|FF00FF,CircleTarget|SquareTarget|TriangleTarget,TimeoutStartMoved,,,DetectNeg,VisualPointer,315.3,,,0.5523236,,,High/P_180612120357/S001/visual_pointer_movement_T006.csv,High/P_180612120357/S001/collision_pointer_movement_T006.csv
High,P_180612120357,1,7,2,3,317.8463,321.1669,Practice,0,FF00FF,TriangleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,TimeoutMiddleMoved,,,DetectNeg,VisualPointer,318.38,318.86,320.56,0.3427588,0.4784411,,High/P_180612120357/S001/visual_pointer_movement_T007.csv,High/P_180612120357/S001/collision_pointer_movement_T007.csv
High,P_180612120357,1,8,2,4,326.9334,328.0469,Practice,0,00FFFF,CircleTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,327.54,,,0.3090703,,,High/P_180612120357/S001/visual_pointer_movement_T008.csv,High/P_180612120357/S001/collision_pointer_movement_T008.csv
High,P_180612120357,1,9,2,5,330.8807,333.32,Practice,0,FF00FF,TriangleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,Success,FF00FF,TriangleTarget,DetectPos,,331.24,331.6,332.88,0.4991633,0.4829446,1,High/P_180612120357/S001/visual_pointer_movement_T009.csv,High/P_180612120357/S001/collision_pointer_movement_T009.csv
High,P_180612120357,1,10,2,6,339.2448,340.3452,Practice,0,FFFF00,CircleTarget,FF00FF|00FFFF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,339.84,,,0.5956584,,,High/P_180612120357/S001/visual_pointer_movement_T010.csv,High/P_180612120357/S001/collision_pointer_movement_T010.csv
