timestamp,log_type,message
3082.05,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3082.41,Log,New State: Finished
3082.41,Log,Correct
3082.41,Log,GAMEBOARD SET TO: PARTTWOFINISH
3083.413,Log,Preparing trial number: 9
3085.411,Log,New State: Preparation
3085.411,Log,GAMEBOARD SET TO: PREPARATION
3085.411,Log,Destroying targets
3085.411,Log,Creating targets
3087.29,Log,New State: Waiting
3087.714,Log,New State: Started
3087.714,Log,GAMEBOARD SET TO: PARTONESTART
3088.07,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3088.62,Log,GAMEBOARD SET TO: PARTONEFINISH
3088.973,Log,New State: MiddleStarted
3088.973,Log,GAMEBOARD SET TO: PARTTWOSTART
3089.28,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3089.65,Log,New State: Finished
3089.65,Log,Correct
3089.65,Log,GAMEBOARD SET TO: PARTTWOFINISH
3090.658,Log,Preparing trial number: 10
3092.657,Log,New State: Preparation
3092.657,Log,GAMEBOARD SET TO: PREPARATION
3092.657,Log,Destroying targets
3092.657,Log,Creating targets
3093.91,Log,New State: Waiting
3094.495,Log,New State: Started
3094.495,Log,GAMEBOARD SET TO: PARTONESTART
3094.83,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3095.41,Log,GAMEBOARD SET TO: PARTONEFINISH
3095.886,Log,New State: MiddleStarted
3095.886,Log,GAMEBOARD SET TO: PARTTWOSTART
3096.22,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3096.61,Log,New State: Finished
3096.61,Log,Correct
3096.61,Log,GAMEBOARD SET TO: PARTTWOFINISH
3097.612,Log,Preparing trial number: 11
3107.618,Log,New State: Preparation
3107.618,Log,GAMEBOARD SET TO: PREPARATION
3107.618,Log,Destroying targets
3107.618,Log,Creating targets
3111.2,Log,New State: Waiting
3111.586,Log,New State: Started
3111.586,Log,GAMEBOARD SET TO: PARTONESTART
3111.92,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3112.46,Log,GAMEBOARD SET TO: PARTONEFINISH
3112.817,Log,New State: MiddleStarted
3112.817,Log,GAMEBOARD SET TO: PARTTWOSTART
3113.15,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3113.49,Log,New State: Finished
3113.49,Log,Correct
3113.49,Log,GAMEBOARD SET TO: PARTTWOFINISH
3114.49,Log,Preparing trial number: 12
3116.499,Log,New State: Preparation
3116.499,Log,GAMEBOARD SET TO: PREPARATION
3116.499,Log,Destroying targets
3116.499,Log,Creating targets
3117.59,Log,New State: Waiting
3117.899,Log,New State: Started
3117.899,Log,GAMEBOARD SET TO: PARTONESTART
3118.27,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3118.8,Log,GAMEBOARD SET TO: PARTONEFINISH
3119.175,Log,New State: MiddleStarted
3119.175,Log,GAMEBOARD SET TO: PARTTWOSTART
3119.44,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3119.78,Log,New State: Finished
3119.78,Log,Correct
3119.78,Log,GAMEBOARD SET TO: PARTTWOFINISH
3120.785,Log,Preparing trial number: 13
3122.785,Log,New State: Preparation
3122.785,Log,GAMEBOARD SET TO: PREPARATION
3122.785,Log,Destroying targets
3122.785,Log,Creating targets
3123.72,Log,New State: Waiting
3124.182,Log,New State: Started
3124.182,Log,GAMEBOARD SET TO: PARTONESTART
3124.49,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3124.96,Log,GAMEBOARD SET TO: PARTONEFINISH
3125.355,Log,New State: MiddleStarted
3125.355,Log,GAMEBOARD SET TO: PARTTWOSTART
3125.66,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3126.01,Log,New State: Finished
3126.01,Log,Correct
3126.01,Log,GAMEBOARD SET TO: PARTTWOFINISH
3127.014,Log,Preparing trial number: 14
3129.015,Log,New State: Preparation
3129.015,Log,GAMEBOARD SET TO: PREPARATION
3129.015,Log,Destroying targets
3129.015,Log,Creating targets
3129.95,Log,New State: Waiting
3130.513,Log,New State: Started
3130.513,Log,GAMEBOARD SET TO: PARTONESTART
3130.88,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3131.41,Log,GAMEBOARD SET TO: PARTONEFINISH
3131.961,Log,New State: MiddleStarted
3131.961,Log,GAMEBOARD SET TO: PARTTWOSTART
3132.24,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3132.61,Log,New State: Finished
3132.61,Log,Correct
3132.61,Log,GAMEBOARD SET TO: PARTTWOFINISH
3133.615,Log,Preparing trial number: 15
3135.611,Log,New State: Preparation
3135.611,Log,GAMEBOARD SET TO: PREPARATION
3135.611,Log,Destroying targets
3135.611,Log,Creating targets
3136.87,Log,New State: Waiting
3137.434,Log,New State: Started
3137.434,Log,GAMEBOARD SET TO: PARTONESTART
3137.77,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3138.23,Log,GAMEBOARD SET TO: PARTONEFINISH
3138.813,Log,New State: MiddleStarted
3138.813,Log,GAMEBOARD SET TO: PARTTWOSTART
3139.11,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3139.4,Log,New State: Finished
3139.4,Log,Correct
3139.4,Log,GAMEBOARD SET TO: PARTTWOFINISH
3140.406,Log,Preparing trial number: 16
3142.401,Log,New State: Preparation
3142.401,Log,GAMEBOARD SET TO: PREPARATION
3142.401,Log,Destroying targets
3142.401,Log,Creating targets
3144.18,Log,New State: Waiting
3144.753,Log,New State: Started
3144.753,Log,GAMEBOARD SET TO: PARTONESTART
3145.08,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3145.54,Log,GAMEBOARD SET TO: PARTONEFINISH
3146.104,Log,New State: MiddleStarted
3146.104,Log,GAMEBOARD SET TO: PARTTWOSTART
3146.33,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3146.65,Log,New State: Finished
3146.65,Log,Correct
3146.65,Log,GAMEBOARD SET TO: PARTTWOFINISH
3147.65,Log,Preparing trial number: 17
3149.65,Log,New State: Preparation
3149.65,Log,GAMEBOARD SET TO: PREPARATION
3149.65,Log,Destroying targets
3149.65,Log,Creating targets
3151.65,Log,New State: Waiting
3151.988,Log,New State: Started
3151.988,Log,GAMEBOARD SET TO: PARTONESTART
3152.31,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3152.83,Log,GAMEBOARD SET TO: PARTONEFINISH
3153.194,Log,New State: MiddleStarted
3153.194,Log,GAMEBOARD SET TO: PARTTWOSTART
3153.46,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3153.77,Log,New State: Finished
3153.77,Log,Correct
3153.77,Log,GAMEBOARD SET TO: PARTTWOFINISH
3154.771,Log,Preparing trial number: 18
3156.774,Log,New State: Preparation
3156.774,Log,GAMEBOARD SET TO: PREPARATION
3156.774,Log,Destroying targets
3156.774,Log,Creating targets
3157.77,Log,New State: Waiting
3158.137,Log,New State: Started
3158.137,Log,GAMEBOARD SET TO: PARTONESTART
3158.47,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3159,Log,GAMEBOARD SET TO: PARTONEFINISH
3159.313,Log,New State: MiddleStarted
3159.313,Log,GAMEBOARD SET TO: PARTTWOSTART
3159.45,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3159.76,Log,New State: Finished
3159.76,Log,Correct
3159.76,Log,GAMEBOARD SET TO: PARTTWOFINISH
3160.766,Log,Preparing trial number: 19
3162.767,Log,New State: Preparation
3162.767,Log,GAMEBOARD SET TO: PREPARATION
3162.767,Log,Destroying targets
3162.767,Log,Creating targets
3163.81,Log,New State: Waiting
3164.34,Log,New State: Started
3164.34,Log,GAMEBOARD SET TO: PARTONESTART
3164.77,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3165.18,Log,GAMEBOARD SET TO: PARTONEFINISH
3165.58,Log,New State: Finished
3165.58,Log,Failed: MiddleMovedEarly object: IntermediateCircle
3165.58,Log,GAMEBOARD SET TO: PARTTWOFINISH
3166.58,Log,Preparing trial number: 20
3176.586,Log,New State: Preparation
3176.586,Log,GAMEBOARD SET TO: PREPARATION
3176.586,Log,Destroying targets
3176.586,Log,Creating targets
3180.2,Log,New State: Waiting
3180.762,Log,New State: Started
3180.762,Log,GAMEBOARD SET TO: PARTONESTART
3181.13,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3181.632,Log,New State: Finished
3181.632,Log,Failed: TimeoutStartMoved object: VisualPointer
3181.632,Log,GAMEBOARD SET TO: PARTTWOFINISH
3182.632,Log,Preparing trial number: 21
3182.632,Log,New State: Preparation
3182.632,Log,GAMEBOARD SET TO: PREPARATION
3182.632,Log,Destroying targets
3182.632,Log,Creating targets
3185.99,Log,New State: Waiting
3186.506,Log,New State: Started
3186.506,Log,GAMEBOARD SET TO: PARTONESTART
3186.85,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3187.3,Log,GAMEBOARD SET TO: PARTONEFINISH
3187.858,Log,New State: MiddleStarted
3187.858,Log,GAMEBOARD SET TO: PARTTWOSTART
3188.19,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3188.5,Log,New State: Finished
3188.5,Log,Correct
3188.5,Log,GAMEBOARD SET TO: PARTTWOFINISH
3189.501,Log,Preparing trial number: 22
3189.501,Log,New State: Preparation
3189.501,Log,GAMEBOARD SET TO: PREPARATION
3189.501,Log,Destroying targets
3189.501,Log,Creating targets
3192.18,Log,New State: Waiting
3192.656,Log,New State: Started
3192.656,Log,GAMEBOARD SET TO: PARTONESTART
3193.01,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3193.33,Log,GAMEBOARD SET TO: PARTONEFINISH
3193.841,Log,New State: MiddleStarted
3193.841,Log,GAMEBOARD SET TO: PARTTWOSTART
3194.16,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3194.5,Log,New State: Finished
3194.5,Log,Correct
3194.5,Log,GAMEBOARD SET TO: PARTTWOFINISH
3195.501,Log,Preparing trial number: 23
3195.501,Log,New State: Preparation
3195.501,Log,GAMEBOARD SET TO: PREPARATION
3195.501,Log,Destroying targets
3195.501,Log,Creating targets
3197.2,Log,New State: Waiting
3197.597,Log,New State: Started
3197.597,Log,GAMEBOARD SET TO: PARTONESTART
3197.98,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3198.41,Log,GAMEBOARD SET TO: PARTONEFINISH
3198.768,Log,New State: MiddleStarted
3198.768,Log,GAMEBOARD SET TO: PARTTWOSTART
3199.12,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3199.49,Log,New State: Finished
3199.49,Log,Correct
3199.49,Log,GAMEBOARD SET TO: PARTTWOFINISH
3200.495,Log,Preparing trial number: 24
3200.495,Log,New State: Preparation
3200.495,Log,GAMEBOARD SET TO: PREPARATION
3200.495,Log,Destroying targets
3200.495,Log,Creating targets
3202.36,Log,New State: Waiting
3202.911,Log,New State: Started
3202.911,Log,GAMEBOARD SET TO: PARTONESTART
3203.26,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3203.68,Log,GAMEBOARD SET TO: PARTONEFINISH
3204.213,Log,New State: MiddleStarted
3204.213,Log,GAMEBOARD SET TO: PARTTWOSTART
3204.37,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3204.8,Log,New State: Finished
3204.8,Log,Correct
3204.8,Log,GAMEBOARD SET TO: PARTTWOFINISH
3205.805,Log,Preparing trial number: 25
3205.805,Log,New State: Preparation
3205.805,Log,GAMEBOARD SET TO: PREPARATION
3205.805,Log,Destroying targets
3205.805,Log,Creating targets
3207.24,Log,New State: Waiting
3207.628,Log,New State: Started
3207.628,Log,GAMEBOARD SET TO: PARTONESTART
3208.08,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
3208.42,Log,GAMEBOARD SET TO: PARTONEFINISH
3208.816,Log,New State: MiddleStarted
3208.816,Log,GAMEBOARD SET TO: PARTTWOSTART
3209.2,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
3209.54,Log,New State: Finished
3209.54,Log,Correct
3209.54,Log,GAMEBOARD SET TO: PARTTWOFINISH
3210.548,Log,Preparing trial number: 26
3210.548,Log,New State: Preparation
3210.548,Log,GAMEBOARD SET TO: PREPARATION
3210.548,Log,Destroying targets
3210.548,Log,Creating targets
