timestamp,log_type,message
5418.089,Log,Setting start & targets for example
5418.089,Log,Start color randomised
5418.089,Log,Start sprite randomised
5418.089,Log,Target colors randomised
5418.089,Log,Target sprites randomised
5418.089,Log,Setting start & targets for practice
5418.089,Log,Start color randomised
5418.089,Log,Start sprite randomised
5418.089,Log,Target colors randomised
5418.089,Log,Target sprites randomised
5418.089,Log,Setting start & targets for baseline
5418.089,Log,Start color randomised
5418.089,Log,Start sprite randomised
5418.089,Log,Target colors randomised
5418.089,Log,Target sprites randomised
5418.089,Log,Setting start & targets for negToPos
5418.089,Log,Start color randomised
5418.089,Log,Start sprite randomised
5418.089,Log,Target colors randomised
5418.089,Log,Target sprites randomised
5418.089,Log,Setting start & targets for posToNeg
5418.089,Log,Start color randomised
5418.089,Log,Start sprite randomised
5418.089,Log,Target colors randomised
5418.089,Log,Target sprites randomised
5418.089,Log,Setting start & targets for random
5418.089,Log,Start color randomised
5418.089,Log,Start sprite randomised
5418.089,Log,Target colors randomised
5418.089,Log,Target sprites randomised
5418.089,Log,Order of blocks:
5418.089,Log,Random
5418.089,Log,NegToPos
5418.089,Log,PosToNeg
5418.089,Log,Sampling Interval: 10
5418.089,Log,Preparing trial number: 1
5428.081,Log,New State: Preparation
5428.081,Log,GAMEBOARD SET TO: PREPARATION
5428.081,Log,Destroying targets
5428.081,Log,Creating targets
5429.25,Log,New State: Waiting
5429.754,Log,New State: Started
5429.754,Log,GAMEBOARD SET TO: PARTONESTART
5430.72,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
5431.55,Log,GAMEBOARD SET TO: PARTONEFINISH
5432.02,Log,New State: MiddleStarted
5432.02,Log,GAMEBOARD SET TO: PARTTWOSTART
5432.48,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
5433.33,Log,New State: Finished
5433.33,Log,Correct
5433.33,Log,GAMEBOARD SET TO: PARTTWOFINISH
5434.333,Log,Preparing trial number: 2
5434.333,Log,New State: Preparation
5434.333,Log,GAMEBOARD SET TO: PREPARATION
5434.333,Log,Destroying targets
5434.333,Log,Creating targets
5439.97,Log,New State: Waiting
5440.31,Log,New State: Started
5440.31,Log,GAMEBOARD SET TO: PARTONESTART
5441.09,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
5441.77,Log,GAMEBOARD SET TO: PARTONEFINISH
5442.14,Log,New State: MiddleStarted
5442.14,Log,GAMEBOARD SET TO: PARTTWOSTART
5442.49,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
5442.94,Log,New State: Finished
5442.94,Log,Correct
5442.94,Log,GAMEBOARD SET TO: PARTTWOFINISH
5443.946,Log,Preparing trial number: 3
5443.946,Log,New State: Preparation
5443.946,Log,GAMEBOARD SET TO: PREPARATION
5443.946,Log,Destroying targets
5443.946,Log,Creating targets
5444.8,Log,New State: Waiting
5445.298,Log,New State: Started
5445.298,Log,GAMEBOARD SET TO: PARTONESTART
5445.95,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
5446.46,Log,GAMEBOARD SET TO: PARTONEFINISH
5447.01,Log,New State: MiddleStarted
5447.01,Log,GAMEBOARD SET TO: PARTTWOSTART
5447.4,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
5447.83,Log,New State: Finished
5447.83,Log,Correct
5447.83,Log,GAMEBOARD SET TO: PARTTWOFINISH
5448.833,Log,Preparing trial number: 4
5448.833,Log,New State: Preparation
5448.833,Log,GAMEBOARD SET TO: PREPARATION
5448.833,Log,Destroying targets
5448.833,Log,Creating targets
5449.57,Log,New State: Waiting
5450.03,Log,New State: Started
5450.03,Log,GAMEBOARD SET TO: PARTONESTART
5450.59,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
5451.194,Log,New State: Finished
5451.194,Log,Failed: TimeoutStartMoved object: VisualPointer
5451.194,Log,GAMEBOARD SET TO: PARTTWOFINISH
5452.191,Log,Preparing trial number: 5
5462.191,Log,New State: Preparation
5462.191,Log,GAMEBOARD SET TO: PREPARATION
5462.191,Log,Destroying targets
5462.191,Log,Creating targets
5462.98,Log,New State: Waiting
5463.345,Log,New State: Started
5463.345,Log,GAMEBOARD SET TO: PARTONESTART
5463.85,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
5464.37,Log,GAMEBOARD SET TO: PARTONEFINISH
5464.89,Log,New State: MiddleStarted
5464.89,Log,GAMEBOARD SET TO: PARTTWOSTART
5465.27,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
5465.7,Log,New State: Finished
5465.7,Log,Correct
5465.7,Log,GAMEBOARD SET TO: PARTTWOFINISH
5466.708,Log,Preparing trial number: 6
5468.702,Log,New State: Preparation
5468.702,Log,GAMEBOARD SET TO: PREPARATION
5468.702,Log,Destroying targets
5468.702,Log,Creating targets
5469.33,Log,New State: Waiting
5469.91,Log,New State: Started
5469.91,Log,GAMEBOARD SET TO: PARTONESTART
5470.36,Log,GAMEBOARD SET TO: PARTONESTARTMOVED
5470.83,Log,GAMEBOARD SET TO: PARTONEFINISH
5471.276,Log,New State: MiddleStarted
5471.276,Log,GAMEBOARD SET TO: PARTTWOSTART
5471.64,Log,GAMEBOARD SET TO: PARTTWOSTARTMOVED
5472.13,Log,New State: Finished
5472.13,Log,Correct
5472.13,Log,GAMEBOARD SET TO: PARTTWOFINISH
5473.137,Log,Preparing trial number: 7
5475.137,Log,New State: Preparation
5475.137,Log,GAMEBOARD SET TO: PREPARATION
5475.137,Log,Destroying targets
5475.137,Log,Creating targets
5475.82,Log,New State: Waiting
5476.265,Log,New State: Started
