experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath
High,P_180612130040,1,1,1,1,152.7081,154.94,Example,0,FFFF00,TriangleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|SquareTarget|CircleTarget,Success,FFFF00,SquareTarget,DetectPos,,153.12,153.5,154.52,0.4456708,0.5980415,1,High/P_180612130040/S001/visual_pointer_movement_T001.csv,High/P_180612130040/S001/collision_pointer_movement_T001.csv
High,P_180612130040,1,2,1,2,157.6047,159.84,Example,0,FFFF00,CircleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|SquareTarget|CircleTarget,Success,FFFF00,SquareTarget,DetectPos,,158.14,158.54,159.46,0.5187653,0.5299859,2,High/P_180612130040/S001/visual_pointer_movement_T002.csv,High/P_180612130040/S001/collision_pointer_movement_T002.csv
High,P_180612130040,1,3,1,3,167.8316,168.46,Example,0,FF00FF,SquareTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|SquareTarget|CircleTarget,HitObstacle,,,DetectPos,Obstacle,168.24,,,0.3245453,,,High/P_180612130040/S001/visual_pointer_movement_T003.csv,High/P_180612130040/S001/collision_pointer_movement_T003.csv
High,P_180612130040,1,4,1,4,178.7227,179.7285,Example,0,FFFF00,CircleTarget,FF00FF|00FFFF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,179.22,,,0.3357684,,,High/P_180612130040/S001/visual_pointer_movement_T004.csv,High/P_180612130040/S001/collision_pointer_movement_T004.csv
High,P_180612130040,1,5,2,1,200.7532,201.8032,Practice,0,00FFFF,TriangleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|TriangleTarget|CircleTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,201.3,,,0.4485787,,,High/P_180612130040/S001/visual_pointer_movement_T005.csv,High/P_180612130040/S001/collision_pointer_movement_T005.csv
High,P_180612130040,1,6,2,2,204.8933,206.56,Practice,0,00FFFF,SquareTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|CircleTarget|SquareTarget,Success,00FFFF,CircleTarget,DetectPos,,205.24,205.64,206.28,0.4300409,0.3241749,1,High/P_180612130040/S001/visual_pointer_movement_T006.csv,High/P_180612130040/S001/collision_pointer_movement_T006.csv
High,P_180612130040,1,7,2,3,209.4363,211.26,Practice,0,FF00FF,CircleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,Success,FF00FF,TriangleTarget,DetectPos,,209.7,210.02,210.84,0.3870186,0.5544083,2,High/P_180612130040/S001/visual_pointer_movement_T007.csv,High/P_180612130040/S001/collision_pointer_movement_T007.csv
High,P_180612130040,1,8,2,4,213.8081,215.88,Practice,0,FFFF00,CircleTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,Success,FFFF00,CircleTarget,DetectPos,,214.26,214.58,215.44,0.3427593,0.5496221,3,High/P_180612130040/S001/visual_pointer_movement_T008.csv,High/P_180612130040/S001/collision_pointer_movement_T008.csv
High,P_180612130040,1,9,2,5,218.101,219.78,Practice,0,FF00FF,CircleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,Success,FF00FF,CircleTarget,DetectPos,,218.48,218.92,219.38,0.4960796,0.3323805,4,High/P_180612130040/S001/visual_pointer_movement_T009.csv,High/P_180612130040/S001/collision_pointer_movement_T009.csv
High,P_180612130040,1,10,2,6,223.4304,223.6212,Practice,0,00FFFF,TriangleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,MouseLifted,,,,VisualPointer,,,,,,,High/P_180612130040/S001/visual_pointer_movement_T010.csv,High/P_180612130040/S001/collision_pointer_movement_T010.csv
