experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,start_movement_timeout,middle_movement_timeout,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath,tablet_pixels_relpath
High,P_180718095152,1,1,1,1,132.9863,135.67,Example,0,FF00FF,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|CircleTarget|SquareTarget,5,1,Success,FF00FF,CircleTarget,DetectNeg0|DetectNeg1,,133.83,134.33,135.34,0.539324,0.3238079,1,High/P_180718095152/S001/visual_pointer_movement_T001.csv,High/P_180718095152/S001/collision_pointer_movement_T001.csv,High/P_180718095152/S001/tablet_pixels_T001.csv
High,P_180718095152,1,2,1,2,138.0689,140.38,Example,0,00FFFF,CircleTarget,FFFF00|FF00FF|00FFFF,CircleTarget|TriangleTarget|SquareTarget,5,1,Success,00FFFF,SquareTarget,DetectPos0|DetectPos1,,138.74,139.14,140.05,0.3029066,0.5266432,2,High/P_180718095152/S001/visual_pointer_movement_T002.csv,High/P_180718095152/S001/collision_pointer_movement_T002.csv,High/P_180718095152/S001/tablet_pixels_T002.csv
High,P_180718095152,1,3,1,3,145.0656,147.58,Example,0,FFFF00,CircleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,5,1,Success,FFFF00,CircleTarget,DetectPos0|DetectPos1,,145.83,146.32,147.21,0.4324732,0.4311471,3,High/P_180718095152/S001/visual_pointer_movement_T003.csv,High/P_180718095152/S001/collision_pointer_movement_T003.csv,High/P_180718095152/S001/tablet_pixels_T003.csv
High,P_180718095152,1,4,1,4,152.3985,153.9031,Example,0,FF00FF,CircleTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|CircleTarget|SquareTarget,0.6,1,TimeoutStartMoved,,,DetectPos0|DetectPos1,VisualPointer,153.3,,,0.3469193,,,High/P_180718095152/S001/visual_pointer_movement_T004.csv,High/P_180718095152/S001/collision_pointer_movement_T004.csv,High/P_180718095152/S001/tablet_pixels_T004.csv
High,P_180718095152,1,5,2,1,174.6514,177.41,Practice,0,00FFFF,TriangleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|CircleTarget|TriangleTarget,1,1,Success,00FFFF,CircleTarget,DetectNeg0|DetectNeg1,,175.45,175.98,176.88,0.5419232,0.4685331,1,High/P_180718095152/S001/visual_pointer_movement_T005.csv,High/P_180718095152/S001/collision_pointer_movement_T005.csv,High/P_180718095152/S001/tablet_pixels_T005.csv
High,P_180718095152,1,6,2,2,182.4301,185,Practice,0,FF00FF,SquareTarget,FFFF00|00FFFF|FF00FF,CircleTarget|SquareTarget|TriangleTarget,1,1,Success,FF00FF,TriangleTarget,DetectNeg0|DetectNeg1,,183.09,183.58,184.55,0.4478857,0.5262257,2,High/P_180718095152/S001/visual_pointer_movement_T006.csv,High/P_180718095152/S001/collision_pointer_movement_T006.csv,High/P_180718095152/S001/tablet_pixels_T006.csv
High,P_180718095152,1,7,2,3,190.5211,192.89,Practice,0,FFFF00,SquareTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,FFFF00,CircleTarget,DetectNeg0|DetectNeg1,,191.16,191.63,192.44,0.4046468,0.3236184,3,High/P_180718095152/S001/visual_pointer_movement_T007.csv,High/P_180718095152/S001/collision_pointer_movement_T007.csv,High/P_180718095152/S001/tablet_pixels_T007.csv
High,P_180718095152,1,8,2,4,196.9115,199.25,Practice,0,FF00FF,CircleTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,FF00FF,SquareTarget,DetectNeg0|DetectNeg1,,197.53,197.93,198.8,0.3094645,0.4197948,4,High/P_180718095152/S001/visual_pointer_movement_T008.csv,High/P_180718095152/S001/collision_pointer_movement_T008.csv,High/P_180718095152/S001/tablet_pixels_T008.csv
High,P_180718095152,1,9,2,5,203.4939,205.54,Practice,0,FFFF00,SquareTarget,FF00FF|FFFF00|00FFFF,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,FFFF00,TriangleTarget,DetectNeg0|DetectNeg1,,203.96,204.33,205.21,0.4370941,0.4701177,5,High/P_180718095152/S001/visual_pointer_movement_T009.csv,High/P_180718095152/S001/collision_pointer_movement_T009.csv,High/P_180718095152/S001/tablet_pixels_T009.csv
High,P_180718095152,1,10,2,6,209.983,212,Practice,0,FFFF00,CircleTarget,00FFFF|FFFF00|FF00FF,SquareTarget|TriangleTarget|CircleTarget,1,1,Success,FFFF00,TriangleTarget,DetectNeg0|DetectNeg1,,210.42,210.86,211.65,0.5180079,0.4054164,6,High/P_180718095152/S001/visual_pointer_movement_T010.csv,High/P_180718095152/S001/collision_pointer_movement_T010.csv,High/P_180718095152/S001/tablet_pixels_T010.csv
High,P_180718095152,1,11,3,1,224.7439,226.97,Baseline,0,FF00FF,SquareTarget,00FFFF|FFFF00|FF00FF,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,FF00FF,SquareTarget,DetectNeg0|DetectNeg1,,225.29,225.65,226.51,0.3334432,0.4345471,1,High/P_180718095152/S001/visual_pointer_movement_T011.csv,High/P_180718095152/S001/collision_pointer_movement_T011.csv,High/P_180718095152/S001/tablet_pixels_T011.csv
High,P_180718095152,1,12,4,1,241.9496,244.4,NegToPos,-0.9,00FFFF,CircleTarget,FFFF00|00FFFF|FF00FF,CircleTarget|SquareTarget|TriangleTarget,0.8,1,Success,00FFFF,SquareTarget,DetectNeg0|DetectPos1,,242.64,243.09,244.06,0.4395459,0.5835014,2,High/P_180718095152/S001/visual_pointer_movement_T012.csv,High/P_180718095152/S001/collision_pointer_movement_T012.csv,High/P_180718095152/S001/tablet_pixels_T012.csv
High,P_180718095152,1,13,4,2,247.0446,249.25,NegToPos,-0.8357143,00FFFF,TriangleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|CircleTarget|SquareTarget,0.8,1,Success,00FFFF,SquareTarget,DetectNeg0|DetectPos1,,247.65,247.99,248.9,0.4039764,0.5133678,3,High/P_180718095152/S001/visual_pointer_movement_T013.csv,High/P_180718095152/S001/collision_pointer_movement_T013.csv,High/P_180718095152/S001/tablet_pixels_T013.csv
High,P_180718095152,1,14,4,3,251.4337,253.45,NegToPos,-0.7714285,00FFFF,CircleTarget,00FFFF|FFFF00|FF00FF,CircleTarget|SquareTarget|TriangleTarget,0.8,1,Success,00FFFF,CircleTarget,DetectNeg0|DetectPos1,,251.96,252.35,253.07,0.4282658,0.3580538,4,High/P_180718095152/S001/visual_pointer_movement_T014.csv,High/P_180718095152/S001/collision_pointer_movement_T014.csv,High/P_180718095152/S001/tablet_pixels_T014.csv
High,P_180718095152,1,15,4,4,256.2183,258.49,NegToPos,-0.7071428,FFFF00,CircleTarget,FF00FF|FFFF00|00FFFF,SquareTarget|CircleTarget|TriangleTarget,0.8,1,Success,FFFF00,CircleTarget,DetectNeg0|DetectPos1,,256.82,257.14,258.08,0.322995,0.5957232,5,High/P_180718095152/S001/visual_pointer_movement_T015.csv,High/P_180718095152/S001/collision_pointer_movement_T015.csv,High/P_180718095152/S001/tablet_pixels_T015.csv
High,P_180718095152,1,16,4,5,260.8902,263.51,NegToPos,-0.6428571,00FFFF,SquareTarget,00FFFF|FF00FF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,0.8,1,WrongTarget,FFFF00,TriangleTarget,DetectNeg0|DetectPos1,,261.39,261.93,262.73,0.54384,0.4549246,,High/P_180718095152/S001/visual_pointer_movement_T016.csv,High/P_180718095152/S001/collision_pointer_movement_T016.csv,High/P_180718095152/S001/tablet_pixels_T016.csv
High,P_180718095152,1,17,4,6,265.8871,268.1,NegToPos,-0.5785714,00FFFF,TriangleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,0.8,1,Success,00FFFF,CircleTarget,DetectNeg0|DetectPos1,,266.45,266.94,267.7,0.3177681,0.3760323,6,High/P_180718095152/S001/visual_pointer_movement_T017.csv,High/P_180718095152/S001/collision_pointer_movement_T017.csv,High/P_180718095152/S001/tablet_pixels_T017.csv
High,P_180718095152,1,18,4,7,270.241,272.58,NegToPos,-0.5142857,00FFFF,SquareTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,0.8,1,Success,00FFFF,CircleTarget,DetectNeg0|DetectPos1,,270.77,271.27,272.11,0.4126611,0.5922834,7,High/P_180718095152/S001/visual_pointer_movement_T018.csv,High/P_180718095152/S001/collision_pointer_movement_T018.csv,High/P_180718095152/S001/tablet_pixels_T018.csv
High,P_180718095152,1,19,4,8,275.2181,277.69,NegToPos,-0.45,FFFF00,TriangleTarget,FF00FF|FFFF00|00FFFF,SquareTarget|TriangleTarget|CircleTarget,0.8,1,Success,FFFF00,TriangleTarget,DetectNeg0|DetectPos1,,275.81,276.37,277.31,0.5076308,0.5534375,8,High/P_180718095152/S001/visual_pointer_movement_T019.csv,High/P_180718095152/S001/collision_pointer_movement_T019.csv,High/P_180718095152/S001/tablet_pixels_T019.csv
High,P_180718095152,1,20,4,9,279.6228,281.89,NegToPos,-0.3857143,FFFF00,TriangleTarget,FF00FF|FFFF00|00FFFF,SquareTarget|TriangleTarget|CircleTarget,0.8,1,Success,FFFF00,TriangleTarget,DetectNeg0|DetectPos1,,280.16,280.68,281.55,0.4467431,0.4299077,9,High/P_180718095152/S001/visual_pointer_movement_T020.csv,High/P_180718095152/S001/collision_pointer_movement_T020.csv,High/P_180718095152/S001/tablet_pixels_T020.csv
