time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
398.7419,0.3984,-68.2656,0,0,0,270
398.7492,0.3984,-68.2656,0,0,0,270
398.7594,0.3984,-68.2656,0,0,0,270
398.7675,0.3984,-68.2656,0,0,0,270
398.778,0.3984,-68.2656,0,0,0,270
398.7876,0.3984,-68.2656,0,0,0,270
398.7951,0.3984,-68.2656,0,0,0,270
398.8047,0.3984,-68.2656,0,0,0,270
398.8129,0.3984,-68.2656,0,0,0,270
398.8224,0.3984,-68.2656,0,0,0,270
398.8309,0.3984,-68.2656,0,0,0,270
398.8409,0.3984,-68.2656,0,0,0,270
398.8488,0.3984,-68.2656,0,0,0,270
398.8587,0.3984,-68.2656,0,0,0,270
398.8667,0.3984,-68.2656,0,0,0,270
398.8761,0.3984,-68.2656,0,0,0,270
398.8843,0.3984,-68.2656,0,0,0,270
398.8943,0.3984,-68.2656,0,0,0,270
398.9034,0.3984,-68.2656,0,0,0,270
398.9127,0.3984,-68.2656,0,0,0,270
398.9216,0.3984,-68.2656,0,0,0,270
398.9287,0.3984,-68.2656,0,0,0,270
398.9385,0.3984,-68.2656,0,0,0,270
398.946,0.3984,-68.2656,0,0,0,270
398.9562,0.3984,-68.2656,0,0,0,270
398.964,0.3984,-68.2656,0,0,0,270
398.9736,0.3984,-68.2656,0,0,0,270
398.9813,0.3984,-68.2656,0,0,0,270
398.9912,0.3984,-68.2656,0,0,0,270
398.9987,0.3984,-68.2656,0,0,0,270
399.0084,0.3984,-68.2656,0,0,0,270
399.016,0.3984,-68.2656,0,0,0,270
399.0271,0.3984,-68.2656,0,0,0,270
399.035,0.3984,-68.2656,0,0,0,270
399.0448,0.3984,-68.2656,0,0,0,270
399.0536,0.3984,-68.2656,0,0,0,270
399.0615,0.3984,-68.2656,0,0,0,270
399.0711,0.3984,-68.2656,0,0,0,270
399.0794,0.3984,-68.2656,0,0,0,270
399.0895,0.3984,-68.2656,0,0,0,270
399.0971,0.3984,-68.2656,0,0,0,270
399.1079,0.3984,-68.2656,0,0,0,270
399.1159,0.3984,-68.2656,0,0,0,270
399.1257,0.3604,-68.2656,0,0,0,270
399.1328,0.313,-68.2656,0,0,0,270
399.1441,0.2656,-68.2656,0,0,0,270
399.153,0.2656,-68.2656,0,0,0,270
399.1613,0.2656,-68.2656,0,0,0,270
399.1714,0.2656,-68.2656,0,0,0,270
399.1788,0.2656,-68.2656,0,0,0,270
399.1886,0.2656,-68.2656,0,0,0,270
399.1967,0.2656,-68.2656,0,0,0,270
399.2065,0.3087,-68.2656,0,0,0,270
399.2138,0.3572,-68.2656,0,0,0,270
399.2231,0.4187,-68.2454,0,0,0,270
399.2314,0.4742,-68.1899,0,0,0,270
399.2413,0.5486,-68.1155,0,0,0,270
399.2486,0.645,-68.019,0,0,0,270
399.2596,0.7922,-67.8719,0,0,0,270
399.2659,1.1522,-67.3539,0,0,0,270
399.2761,1.7591,-66.4773,0,0,0,270
399.285,2.2916,-65.8745,0,0,0,270
399.2936,2.8068,-65.4165,0,0,0,270
399.3048,3.538,-64.632,0,0,0,270
399.3122,4.077,-63.946,0,0,0,270
399.3216,4.938,-62.8051,0,0,0,270
399.3299,6.4852,-60.5948,0,0,0,270
399.3401,8.3771,-57.8898,0,0,0,270
399.3475,8.9652,-56.9096,0,0,0,270
399.3592,9.8969,-55.3567,0,0,0,270
399.3666,11.149,-53.0499,0,0,0,270
399.3753,12.7051,-50.1683,0,0,0,270
399.3835,13.7597,-47.9236,0,0,0,270
399.3927,14.3089,-46.1541,0,0,0,270
399.4018,14.8753,-44.3828,0,0,0,270
399.4108,15.5297,-42.5385,0,0,0,270
399.4211,16.333,-40.0781,0,0,0,270
399.4284,17.2065,-36.2925,0,0,0,270
399.439,18.4769,-30.7875,0,0,0,270
399.4456,18.8573,-27.4954,0,0,0,270
399.4564,19.3574,-22.2082,0,0,0,270
399.4641,19.5781,-19.5247,0,0,0,270
399.4734,19.7017,-17.4235,0,0,0,270
399.4823,19.8192,-15.3648,0,0,0,270
399.4917,19.9449,-12.9761,0,0,0,270
399.499,20.0413,-11.1452,0,0,0,270
399.5101,20.1887,-4.993,0,0,0,270
399.5163,20.2709,-1.3772,0,0,0,270
399.5271,20.3673,3.1479,0,0,0,270
399.5359,20.4264,6.0994,0,0,0,270
399.5446,20.3924,9.7166,0,0,0,270
399.5554,20.249,15.0935,0,0,0,270
399.5631,20.104,18.2959,0,0,0,270
399.5717,19.8771,20.7354,0,0,0,270
399.5801,19.6532,23.1409,0,0,0,270
399.5897,19.3979,25.7575,0,0,0,270
399.5991,19.148,28.3186,0,0,0,270
399.6107,18.4862,33.9493,0,0,0,270
399.6216,17.8532,39.0418,0,0,0,270
399.6292,17.5037,40.8391,0,0,0,270
399.6408,16.9498,43.6081,0,0,0,270
399.6505,16.3754,45.6506,0,0,0,270
399.659,15.8657,47.4627,0,0,0,270
399.666,14.7289,50.6282,0,0,0,270
399.6765,12.8354,55.8177,0,0,0,270
399.6837,11.9947,57.9061,0,0,0,270
399.6951,11.3139,59.1164,0,0,0,270
399.7072,10.5446,60.4948,0,0,0,270
399.7127,10.1781,61.1544,0,0,0,270
399.7236,9.3838,62.3829,0,0,0,270
399.731,8.7486,63.1158,0,0,0,270
399.7403,7.9323,64.0559,0,0,0,270
399.749,6.8305,65.2737,0,0,0,270
399.7592,5.5432,66.6966,0,0,0,270
399.7661,4.8376,67.2504,0,0,0,270
399.7766,3.789,68.0193,0,0,0,270
399.7844,3.3352,68.4131,0,0,0,270
399.7942,3.0767,68.7361,0,0,0,270
399.8042,2.838,69.0136,0,0,0,270
399.8117,2.6879,69.1637,0,0,0,270
399.8211,2.5007,69.3737,0,0,0,270
399.8289,2.3469,69.6813,0,0,0,270
399.84,2.1252,70.1246,0,0,0,270
399.8458,2.0485,70.278,0,0,0,270
399.8568,1.9023,70.5704,0,0,0,270
399.8636,1.8355,70.6801,0,0,0,270
399.8745,1.7634,70.7522,0,0,0,270
399.8821,1.7266,70.8033,0,0,0,270
399.8912,1.7266,70.8638,0,0,0,270
399.8996,1.7266,70.9195,0,0,0,270
399.9091,1.7266,70.9219,0,0,0,270
399.9176,1.7266,70.9219,0,0,0,270
399.9267,1.6821,70.9663,0,0,0,270
399.9368,1.615,71.0335,0,0,0,270
399.9442,1.5938,71.0547,0,0,0,270
399.9541,1.5938,71.0547,0,0,0,270
399.9615,1.5938,71.0547,0,0,0,270
399.9718,1.5938,71.0547,0,0,0,270
399.9797,1.5938,71.0547,0,0,0,270
399.9888,1.5938,71.1134,0,0,0,270
399.9973,1.5938,71.1694,0,0,0,270
400.0073,1.5938,71.1875,0,0,0,270
400.015,1.5938,71.1875,0,0,0,270
400.0237,1.5938,71.1875,0,0,0,270
400.0313,1.5938,71.1875,0,0,0,270
400.0413,1.5938,71.1875,0,0,0,270
400.0492,1.5938,71.1875,0,0,0,270
400.0588,1.5938,71.1875,0,0,0,270
400.0675,1.5938,71.1875,0,0,0,270
400.0773,1.5938,71.1875,0,0,0,270
400.0841,1.5938,71.2149,0,0,0,270
400.0941,1.5938,71.2816,0,0,0,270
400.1037,1.5938,71.3203,0,0,0,270
400.1119,1.5938,71.3203,0,0,0,270
400.1214,1.5938,71.3203,0,0,0,270
400.1299,1.5938,71.3203,0,0,0,270
400.14,1.5938,71.3203,0,0,0,270
400.1473,1.545,71.3203,0,0,0,270
400.1574,1.4782,71.3203,0,0,0,270
400.1644,1.4609,71.3203,0,0,0,270
400.1745,1.4609,71.3203,0,0,0,270
400.1815,1.4609,71.3203,0,0,0,270
400.1919,1.4609,71.3203,0,0,0,270
400.1999,1.4609,71.3203,0,0,0,270
400.2094,1.4609,71.3203,0,0,0,270
400.2198,1.4609,71.3203,0,0,0,270
400.2287,1.4609,71.3203,0,0,0,270
400.2374,1.4609,71.3203,0,0,0,270
400.2468,1.5064,71.3203,0,0,0,270
400.2568,1.5726,71.3203,0,0,0,270
400.2632,1.5938,71.3203,0,0,0,270
400.2739,1.5938,71.3203,0,0,0,270
400.2822,1.6085,71.3203,0,0,0,270
400.2916,1.671,71.3203,0,0,0,270
400.3,1.7266,71.3203,0,0,0,270
400.3108,1.7266,71.3203,0,0,0,270
400.3188,1.7266,71.3203,0,0,0,270
400.3289,2.7306,71.025,0,0,0,270
400.3389,3.8617,70.6923,0,0,0,270
400.3464,4.7942,70.23,0,0,0,270
400.3568,6.1116,69.5367,0,0,0,270
400.3651,6.9129,69.0918,0,0,0,270
400.3745,7.6669,68.652,0,0,0,270
400.3838,8.4059,68.0688,0,0,0,270
400.3939,9.2103,67.1974,0,0,0,270
400.4053,10.71,65.1323,0,0,0,270
400.412,12,63.1751,0,0,0,270
400.4214,13.6294,60.5349,0,0,0,270
400.4285,14.0529,59.029,0,0,0,270
400.4388,14.6732,56.8234,0,0,0,270
400.4469,15.0628,52.6392,0,0,0,270
400.4565,15.5096,47.1503,0,0,0,270
400.4657,15.4818,42.8757,0,0,0,270
400.4755,15.1569,38.9767,0,0,0,270
400.4827,14.4443,34.8427,0,0,0,270
400.4935,12.2311,25.6327,0,0,0,270
400.5017,10.7224,19.3592,0,0,0,270
400.5111,9.7866,15.4914,0,0,0,270
400.5223,8.5945,10.9237,0,0,0,270
400.5295,7.6364,8.0973,0,0,0,270
400.5386,6.4217,4.5138,0,0,0,270
400.5477,4.4994,-1.8591,0,0,0,270
400.5577,2.2499,-9.4015,0,0,0,270
400.5653,0.5646,-14.8885,0,0,0,270
400.5756,-1.6834,-22.1096,0,0,0,270
400.5832,-3.1852,-26.3557,0,0,0,270
400.5931,-4.8273,-29.8369,0,0,0,270
400.602,-6.2377,-32.9394,0,0,0,270
400.6114,-7.4851,-36.1202,0,0,0,270
400.6207,-8.8226,-39.4176,0,0,0,270
400.6303,-11.5752,-44.7948,0,0,0,270
400.6403,-14.3749,-50.2655,0,0,0,270
400.6467,-15.0105,-51.5367,0,0,0,270
400.6578,-16.1197,-53.7551,0,0,0,270
400.6661,-17.3493,-56.2954,0,0,0,270
400.6749,-18.8055,-59.3241,0,0,0,270
400.6852,-20.1037,-61.851,0,0,0,270
400.6938,-20.8459,-63.107,0,0,0,270
400.7036,-21.8386,-65.0471,0,0,0,270
400.7151,-23.2957,-68.3448,0,0,0,270
400.7244,-24.0827,-70.1088,0,0,0,270
400.7319,-24.3826,-70.7586,0,0,0,270
400.7424,-24.7817,-71.6416,0,0,0,270
400.7504,-25.0487,-72.2825,0,0,0,270
