experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,start_movement_timeout,middle_movement_timeout,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath,tablet_pixels_relpath
High,P_180718142450,1,1,1,1,30.03601,32.09,Example,0,FFFF00,TriangleTarget,00FFFF|FFFF00|FF00FF,SquareTarget|CircleTarget|TriangleTarget,5,1,Success,FFFF00,CircleTarget,DetectPos0|DetectPos1,,30.38,30.85,31.72,0.523661,0.4632334,1,High/P_180718142450/S001/visual_pointer_movement_T001.csv,High/P_180718142450/S001/collision_pointer_movement_T001.csv,High/P_180718142450/S001/tablet_pixels_T001.csv
High,P_180718142450,1,2,1,2,34.01605,36.35,Example,0,FF00FF,SquareTarget,FF00FF|FFFF00|00FFFF,SquareTarget|TriangleTarget|CircleTarget,5,1,Success,FF00FF,SquareTarget,DetectNeg0|DetectNeg1,,34.46,34.9,35.7,0.5386446,0.5008559,2,High/P_180718142450/S001/visual_pointer_movement_T002.csv,High/P_180718142450/S001/collision_pointer_movement_T002.csv,High/P_180718142450/S001/tablet_pixels_T002.csv
High,P_180718142450,1,3,1,3,38.2214,38.69,Example,0,FF00FF,SquareTarget,FF00FF|00FFFF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,5,1,HitObstacle,,,DetectPos0,Obstacle0,38.55,,,0.4260941,,,High/P_180718142450/S001/visual_pointer_movement_T003.csv,High/P_180718142450/S001/collision_pointer_movement_T003.csv,High/P_180718142450/S001/tablet_pixels_T003.csv
High,P_180718142450,1,4,1,4,40.62305,41.54089,Example,0,FFFF00,TriangleTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|SquareTarget|CircleTarget,0.6,1,TimeoutStartMoved,,,DetectPos0|DetectPos1,VisualPointer,40.94,,,0.4468521,,,High/P_180718142450/S001/visual_pointer_movement_T004.csv,High/P_180718142450/S001/collision_pointer_movement_T004.csv,High/P_180718142450/S001/tablet_pixels_T004.csv
High,P_180718142450,1,5,2,1,54.77657,57.57,Practice,0,FF00FF,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|CircleTarget|SquareTarget,1,1,WrongTarget,FFFF00,TriangleTarget,DetectPos0|DetectPos1,,55.2,55.71,56.85,0.4521943,0.5375202,,High/P_180718142450/S001/visual_pointer_movement_T005.csv,High/P_180718142450/S001/collision_pointer_movement_T005.csv,High/P_180718142450/S001/tablet_pixels_T005.csv
High,P_180718142450,1,6,2,2,61.97319,64.09,Practice,0,FF00FF,SquareTarget,FFFF00|FF00FF|00FFFF,SquareTarget|CircleTarget|TriangleTarget,1,1,Success,FF00FF,CircleTarget,DetectPos0|DetectPos1,,62.39,62.9,63.72,0.4011019,0.4655812,1,High/P_180718142450/S001/visual_pointer_movement_T006.csv,High/P_180718142450/S001/collision_pointer_movement_T006.csv,High/P_180718142450/S001/tablet_pixels_T006.csv
High,P_180718142450,1,7,2,3,67.98139,68.75,Practice,0,FFFF00,CircleTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|CircleTarget|SquareTarget,1,1,HitObstacle,,,DetectPos0|DetectPos1,Obstacle1,68.46,,,0.3491938,,,High/P_180718142450/S001/visual_pointer_movement_T007.csv,High/P_180718142450/S001/collision_pointer_movement_T007.csv,High/P_180718142450/S001/tablet_pixels_T007.csv
High,P_180718142450,1,8,2,4,73.20789,73.88,Practice,0,FF00FF,CircleTarget,00FFFF|FFFF00|FF00FF,CircleTarget|TriangleTarget|SquareTarget,1,1,HitObstacle,,,DetectPos0|DetectPos1,Obstacle1,73.57,,,0.4127064,,,High/P_180718142450/S001/visual_pointer_movement_T008.csv,High/P_180718142450/S001/collision_pointer_movement_T008.csv,High/P_180718142450/S001/tablet_pixels_T008.csv
High,P_180718142450,1,9,2,5,78.21641,80.42,Practice,0,00FFFF,TriangleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,00FFFF,CircleTarget,DetectPos0|DetectPos1,,78.63,79.08,79.92,0.4876975,0.4726001,2,High/P_180718142450/S001/visual_pointer_movement_T009.csv,High/P_180718142450/S001/collision_pointer_movement_T009.csv,High/P_180718142450/S001/tablet_pixels_T009.csv
High,P_180718142450,1,10,2,6,84.4977,86.71,Practice,0,FFFF00,CircleTarget,00FFFF|FF00FF|FFFF00,SquareTarget|TriangleTarget|CircleTarget,1,1,Success,FFFF00,CircleTarget,DetectPos0|DetectPos1,,84.89,85.39,86.27,0.4926393,0.5445188,3,High/P_180718142450/S001/visual_pointer_movement_T010.csv,High/P_180718142450/S001/collision_pointer_movement_T010.csv,High/P_180718142450/S001/tablet_pixels_T010.csv
