experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,start_movement_timeout,middle_movement_timeout,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath,tablet_pixels_relpath
High,P_180717143347,1,1,1,1,152.7003,157.68,Example,0,FF00FF,CircleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,5,1,WrongTarget,00FFFF,CircleTarget,DetectPos0|DetectPos1,,153.94,154.73,156.92,0.3360445,0.3417006,,High/P_180717143347/S001/visual_pointer_movement_T001.csv,High/P_180717143347/S001/collision_pointer_movement_T001.csv,High/P_180717143347/S001/tablet_pixels_T001.csv
High,P_180717143347,1,2,1,2,163.1292,165.1256,Example,0,00FFFF,SquareTarget,FFFF00|00FFFF|FF00FF,SquareTarget|CircleTarget|TriangleTarget,5,1,TimeoutStart,,,,Start,,,,,,,High/P_180717143347/S001/visual_pointer_movement_T002.csv,High/P_180717143347/S001/collision_pointer_movement_T002.csv,High/P_180717143347/S001/tablet_pixels_T002.csv
High,P_180717143347,1,3,1,3,168.0745,171.36,Example,0,00FFFF,TriangleTarget,00FFFF|FFFF00|FF00FF,CircleTarget|TriangleTarget|SquareTarget,5,1,Success,00FFFF,CircleTarget,DetectPos0|DetectPos1,,169.51,169.93,171.05,0.4577222,0.4513869,1,High/P_180717143347/S001/visual_pointer_movement_T003.csv,High/P_180717143347/S001/collision_pointer_movement_T003.csv,High/P_180717143347/S001/tablet_pixels_T003.csv
High,P_180717143347,1,4,1,4,177.2894,180.22,Example,0,FFFF00,SquareTarget,00FFFF|FF00FF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,0.6,1,Success,FFFF00,TriangleTarget,DetectPos0|DetectPos1,,178.43,178.86,179.9,0.3610069,0.5931962,2,High/P_180717143347/S001/visual_pointer_movement_T004.csv,High/P_180717143347/S001/collision_pointer_movement_T004.csv,High/P_180717143347/S001/tablet_pixels_T004.csv
High,P_180717143347,1,5,2,1,192.8087,195.38,Practice,0,00FFFF,TriangleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,00FFFF,CircleTarget,DetectPos0|DetectPos1,,193.45,193.96,195.04,0.5052733,0.5963476,1,High/P_180717143347/S001/visual_pointer_movement_T005.csv,High/P_180717143347/S001/collision_pointer_movement_T005.csv,High/P_180717143347/S001/tablet_pixels_T005.csv
High,P_180717143347,1,6,2,2,200.8212,203.45,Practice,0,FFFF00,SquareTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,FFFF00,SquareTarget,DetectPos0|DetectPos1,,201.68,202.09,202.95,0.5592164,0.5217022,2,High/P_180717143347/S001/visual_pointer_movement_T006.csv,High/P_180717143347/S001/collision_pointer_movement_T006.csv,High/P_180717143347/S001/tablet_pixels_T006.csv
High,P_180717143347,1,7,2,3,207.6674,210.4,Practice,0,FFFF00,SquareTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,FFFF00,CircleTarget,DetectPos0|DetectPos1,,208.51,209,209.95,0.3635712,0.5014454,3,High/P_180717143347/S001/visual_pointer_movement_T007.csv,High/P_180717143347/S001/collision_pointer_movement_T007.csv,High/P_180717143347/S001/tablet_pixels_T007.csv
High,P_180717143347,1,8,2,4,215.2489,216.22,Practice,0,FFFF00,SquareTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,1,1,MiddleMovedEarly,,,DetectPos0|DetectPos1,IntermediateCircle,215.74,216.16,,0.4714322,,,High/P_180717143347/S001/visual_pointer_movement_T008.csv,High/P_180717143347/S001/collision_pointer_movement_T008.csv,High/P_180717143347/S001/tablet_pixels_T008.csv
High,P_180717143347,1,9,2,5,221.7256,224.55,Practice,0,FF00FF,CircleTarget,00FFFF|FFFF00|FF00FF,CircleTarget|SquareTarget|TriangleTarget,1,1,Success,FF00FF,TriangleTarget,DetectPos0|DetectPos1,,222.22,222.79,224.04,0.3918035,0.4782335,4,High/P_180717143347/S001/visual_pointer_movement_T009.csv,High/P_180717143347/S001/collision_pointer_movement_T009.csv,High/P_180717143347/S001/tablet_pixels_T009.csv
High,P_180717143347,1,10,2,6,228.8211,231.48,Practice,0,FFFF00,SquareTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,1,1,Success,FFFF00,SquareTarget,DetectPos0|DetectPos1,,229.37,229.91,231.12,0.4044444,0.4708294,5,High/P_180717143347/S001/visual_pointer_movement_T010.csv,High/P_180717143347/S001/collision_pointer_movement_T010.csv,High/P_180717143347/S001/tablet_pixels_T010.csv
High,P_180717143347,1,11,3,1,256.2827,258.94,Baseline,0,FF00FF,TriangleTarget,FFFF00|FF00FF|00FFFF,SquareTarget|TriangleTarget|CircleTarget,1,1,Success,FF00FF,TriangleTarget,DetectPos0|DetectPos1,,257,257.51,258.55,0.3529822,0.4988625,1,High/P_180717143347/S001/visual_pointer_movement_T011.csv,High/P_180717143347/S001/collision_pointer_movement_T011.csv,High/P_180717143347/S001/tablet_pixels_T011.csv
High,P_180717143347,1,12,4,1,271.0895,273.63,Random,-0.8357143,FF00FF,SquareTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|CircleTarget|SquareTarget,0.8,1,Success,FF00FF,SquareTarget,DetectNeg0|DetectPos1,,271.95,272.36,273.28,0.4568492,0.3250056,2,High/P_180717143347/S001/visual_pointer_movement_T012.csv,High/P_180717143347/S001/collision_pointer_movement_T012.csv,High/P_180717143347/S001/tablet_pixels_T012.csv
High,P_180717143347,1,13,4,2,276.4634,279.18,Random,0.8357143,FF00FF,TriangleTarget,FF00FF|FFFF00|00FFFF,SquareTarget|CircleTarget|TriangleTarget,0.8,1,Success,FF00FF,SquareTarget,DetectPos0|DetectNeg1,,277.67,278.05,278.84,0.4425837,0.3436414,3,High/P_180717143347/S001/visual_pointer_movement_T013.csv,High/P_180717143347/S001/collision_pointer_movement_T013.csv,High/P_180717143347/S001/tablet_pixels_T013.csv
High,P_180717143347,1,14,4,3,284.5401,286.95,Random,-0.5785714,FF00FF,SquareTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,0.8,1,Success,FF00FF,SquareTarget,DetectNeg0|DetectPos1,,285.17,285.76,286.58,0.5442781,0.3762828,4,High/P_180717143347/S001/visual_pointer_movement_T014.csv,High/P_180717143347/S001/collision_pointer_movement_T014.csv,High/P_180717143347/S001/tablet_pixels_T014.csv
High,P_180717143347,1,15,4,4,291.1693,293.83,Random,-0.1285714,FFFF00,TriangleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|CircleTarget|TriangleTarget,0.8,1,Success,FFFF00,SquareTarget,DetectNeg0|DetectNeg1,,292.07,292.69,293.47,0.332534,0.3976086,5,High/P_180717143347/S001/visual_pointer_movement_T015.csv,High/P_180717143347/S001/collision_pointer_movement_T015.csv,High/P_180717143347/S001/tablet_pixels_T015.csv
High,P_180717143347,1,16,4,5,296.3128,297.49,Random,-0.45,00FFFF,SquareTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,0.8,1,HitObstacle,,,DetectNeg0|DetectPos1,Obstacle1,297.16,,,0.4679641,,,High/P_180717143347/S001/visual_pointer_movement_T016.csv,High/P_180717143347/S001/collision_pointer_movement_T016.csv,High/P_180717143347/S001/tablet_pixels_T016.csv
High,P_180717143347,1,17,4,6,302.5048,303.74,Random,0.9,FF00FF,SquareTarget,00FFFF|FFFF00|FF00FF,SquareTarget|CircleTarget|TriangleTarget,0.8,1,MiddleMovedEarly,,,DetectPos0|DetectNeg1,IntermediateCircle,303.13,303.62,,0.4904875,,,High/P_180717143347/S001/visual_pointer_movement_T017.csv,High/P_180717143347/S001/collision_pointer_movement_T017.csv,High/P_180717143347/S001/tablet_pixels_T017.csv
High,P_180717143347,1,18,4,7,306.6834,309.52,Random,0.1285714,FFFF00,CircleTarget,FFFF00|FF00FF|00FFFF,SquareTarget|TriangleTarget|CircleTarget,0.8,1,Success,FFFF00,SquareTarget,DetectPos0|DetectPos1,,307.34,308.07,308.97,0.4224501,0.4996113,6,High/P_180717143347/S001/visual_pointer_movement_T018.csv,High/P_180717143347/S001/collision_pointer_movement_T018.csv,High/P_180717143347/S001/tablet_pixels_T018.csv
