time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
5918.17,0.2176,-70.7958,1.4019,0,0,270
5918.18,0.2176,-70.7958,1.4019,0,0,270
5918.19,0.2176,-70.7958,1.4019,0,0,270
5918.2,0.2176,-70.7958,1.4019,0,0,270
5918.21,0.2176,-70.7958,1.4019,0,0,270
5918.22,0.2176,-70.7958,1.4019,0,0,270
5918.23,0.1841,-70.7958,1.4019,0,0,270
5918.24,0.1841,-70.7958,1.4019,0,0,270
5918.25,0.1841,-70.7958,1.4019,0,0,270
5918.26,0.1841,-70.7604,1.4019,0,0,270
5918.27,0.1841,-70.7604,1.4019,0,0,270
5918.28,0.1841,-70.7604,1.4019,0,0,270
5918.29,0.1841,-70.7604,1.4019,0,0,270
5918.3,0.1841,-70.7604,1.4019,0,0,270
5918.31,0.1841,-70.7604,1.4019,0,0,270
5918.32,0.1841,-70.7427,1.4019,0,0,270
5918.33,0.1841,-70.7427,1.4019,0,0,270
5918.34,0.1841,-70.7427,1.4019,0,0,270
5918.35,0.1841,-70.7073,1.4019,0,0,270
5918.36,0.1841,-70.7073,1.4019,0,0,270
5918.37,0.1841,-70.6719,1.4019,0,0,270
5918.38,0.1841,-70.6719,1.4019,0,0,270
5918.39,0.2176,-70.6543,1.4019,0,0,270
5918.4,0.2176,-70.6543,1.4019,0,0,270
5918.41,0.2176,-70.6189,1.4019,0,0,270
5918.42,0.2176,-70.5835,1.4019,0,0,270
5918.43,0.1841,-70.5835,1.4019,0,0,270
5918.44,0.1841,-70.5835,1.4019,0,0,270
5918.45,0.1841,-70.5481,1.4019,0,0,270
5918.46,0.1841,-70.5481,1.4019,0,0,270
5918.47,0.1841,-70.5481,1.4019,0,0,270
5918.48,0.1841,-70.5481,1.4019,0,0,270
5918.49,0.1841,-70.5481,1.4019,0,0,270
5918.5,0.1841,-70.5128,1.4019,0,0,270
5918.51,0.1841,-70.5128,1.4019,0,0,270
5918.52,0.1841,-70.5128,1.4019,0,0,270
5918.53,0.1841,-70.5128,1.4019,0,0,270
5918.54,0.1841,-70.5128,1.4019,0,0,270
5918.55,0.1841,-70.5128,1.4019,0,0,270
5918.56,0.1841,-70.5128,1.4019,0,0,270
5918.57,0.1561,-70.5128,1.4019,0,0,270
5918.58,0.1561,-70.4951,1.4019,0,0,270
5918.59,0.1561,-70.4951,1.4019,0,0,270
5918.6,0.1561,-70.4951,1.4019,0,0,270
5918.61,0.1561,-70.4951,1.4019,0,0,270
5918.62,0.1561,-70.4951,1.4019,0,0,270
5918.63,0.1561,-70.4951,1.4019,0,0,270
5918.64,0.1561,-70.4951,1.4019,0,0,270
5918.65,0.1561,-70.4951,1.4019,0,0,270
5918.66,0.1561,-70.4951,1.4019,0,0,270
5918.67,0.1561,-70.4951,1.4019,0,0,270
5918.68,0.1561,-70.4951,1.4019,0,0,270
5918.69,0.1561,-70.5128,1.4019,0,0,270
5918.7,0.0945,-70.5128,1.4019,0,0,270
5918.71,0.0274,-70.5128,1.4019,0,0,270
5918.72,-0.1405,-70.5128,1.4019,0,0,270
5918.73,-0.2413,-70.5128,1.4019,0,0,270
5918.74,-0.4987,-70.5128,1.4019,0,0,270
5918.75,-0.8961,-70.4951,1.4019,0,0,270
5918.76,-1.4333,-70.442,1.4019,0,0,270
5918.77,-1.7467,-70.389,1.4019,0,0,270
5918.78,-2.519,-70.2475,1.4019,0,0,270
5918.79,-3.5152,-70.0352,1.4019,0,0,270
5918.8,-4.668,-69.7522,1.4019,0,0,270
5918.81,-5.9552,-69.3631,1.4019,0,0,270
5918.82,-7.3375,-68.8679,1.4019,0,0,270
5918.83,-9.6265,-67.9835,1.4019,0,0,270
5918.84,-11.3781,-67.2407,1.4019,0,0,270
5918.85,-13.1578,-66.374,1.4019,0,0,270
5918.86,-14.9655,-65.4013,1.4019,0,0,270
5918.87,-15.8945,-64.8706,1.4019,0,0,270
5918.88,-18.5472,-63.2081,1.4019,0,0,270
5918.89,-20.3212,-61.9346,1.4019,0,0,270
5918.9,-21.1887,-61.2448,1.4019,0,0,270
5918.91,-24.2779,-57.8666,1.4019,0,0,270
