time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
1179,-0.4011,-69.9999,0,0,0,270
1179.01,-0.3924,-69.9999,0,0,0,270
1179.02,-0.3718,-69.9782,0,0,0,270
1179.03,-0.3472,-69.9645,0,0,0,270
1179.04,-0.3308,-69.9499,0,0,0,270
1179.05,-0.327,-69.9242,0,0,0,270
1179.06,-0.2958,-69.8937,0,0,0,270
1179.07,-0.2672,-69.8924,0,0,0,270
1179.08,-0.2413,-69.876,0,0,0,270
1179.09,-0.2167,-69.845,0,0,0,270
1179.1,-0.1823,-69.808,0,0,0,270
1179.11,-0.1584,-69.7918,0,0,0,270
1179.12,-0.1223,-69.7611,0,0,0,270
1179.13,-0.0967,-69.7522,0,0,0,270
1179.14,-0.0655,-69.7321,0,0,0,270
1179.15,-0.0329,-69.7169,0,0,0,270
1179.16,-0.023,-69.7088,0,0,0,270
1179.17,-0.0089,-69.6813,0,0,0,270
1179.18,0.005,-69.6638,0,0,0,270
1179.19,0.005,-69.6638,0,0,0,270
1179.2,0.0145,-69.6638,0,0,0,270
1179.21,0.049,-69.6638,0,0,0,270
1179.22,0.0665,-69.6456,0,0,0,270
1179.23,0.0752,-69.6284,0,0,0,270
1179.24,0.0945,-69.6284,0,0,0,270
1179.25,0.0945,-69.6284,0,0,0,270
1179.26,0.0945,-69.6284,0,0,0,270
1179.27,0.0945,-69.6284,0,0,0,270
1179.28,0.0945,-69.6284,0,0,0,270
1179.29,0.1218,-69.6284,0,0,0,270
1179.3,0.1281,-69.6284,0,0,0,270
1179.31,0.149,-69.6284,0,0,0,270
1179.32,0.1561,-69.6284,0,0,0,270
1179.33,0.1561,-69.6284,0,0,0,270
1179.34,0.1561,-69.6284,0,0,0,270
1179.35,0.1561,-69.6284,0,0,0,270
1179.36,0.1561,-69.6284,0,0,0,270
1179.37,0.1561,-69.6284,0,0,0,270
1179.38,0.1702,-69.6284,0,0,0,270
1179.39,0.1841,-69.6284,0,0,0,270
1179.4,0.1841,-69.6284,0,0,0,270
1179.41,0.1687,-69.6284,0,0,0,270
1179.42,0.1561,-69.6284,0,0,0,270
1179.43,0.129,-69.6284,0,0,0,270
1179.44,0.0626,-69.6284,0,0,0,270
1179.45,-0.0064,-69.6398,0,0,0,270
1179.46,-0.1967,-69.6778,0,0,0,270
1179.47,-0.5271,-69.7089,0,0,0,270
1179.48,-0.9618,-69.7169,0,0,0,270
1179.49,-1.6319,-69.7087,0,0,0,270
1179.5,-2.4182,-69.6136,0,0,0,270
1179.51,-3.5233,-69.4422,0,0,0,270
1179.52,-4.561,-69.2033,0,0,0,270
1179.53,-5.9912,-68.7927,0,0,0,270
1179.54,-8.0676,-68.0696,0,0,0,270
1179.55,-9.0874,-67.5549,0,0,0,270
1179.56,-11.0465,-66.4324,0,0,0,270
1179.57,-13.2174,-64.915,0,0,0,270
1179.58,-15.3209,-63.0888,0,0,0,270
1179.59,-17.9064,-60.502,0,0,0,270
1179.6,-18.8492,-59.3664,0,0,0,270
1179.61,-21.2362,-56.0995,0,0,0,270
1179.62,-22.8082,-53.5345,0,0,0,270
1179.63,-24.6049,-50.108,0,0,0,270
1179.64,-26.4434,-45.4614,0,0,0,270
1179.65,-27.569,-42.0197,0,0,0,270
1179.66,-29.5873,-32.7013,0,0,0,270
1179.67,-30.7362,-21.7499,0,0,0,270
1179.68,-30.7362,-21.7499,0,0,0,270
1179.69,-30.9459,-16.5117,0,0,0,270
1179.7,-30.5515,-4.2399,0,0,0,270
1179.71,-30.5515,-4.2399,0,0,0,270
1179.72,-28.9401,6.7054,0,0,0,270
1179.73,-27.7582,12.2153,0,0,0,270
1179.74,-26.2028,18.1926,0,0,0,270
1179.75,-24.5877,23.708,0,0,0,270
1179.76,-23.2595,27.7649,0,0,0,270
1179.77,-22.0416,31.2946,0,0,0,270
1179.78,-20.9656,34.2078,0,0,0,270
1179.79,-19.1884,38.7271,0,0,0,270
1179.8,-17.6013,42.4943,0,0,0,270
1179.81,-15.9159,46.2441,0,0,0,270
1179.82,-14.4893,49.0492,0,0,0,270
1179.83,-13.0022,51.7559,0,0,0,270
1179.84,-11.8714,53.5723,0,0,0,270
1179.85,-9.952,56.4436,0,0,0,270
1179.86,-8.5948,58.3658,0,0,0,270
1179.87,-7.9159,59.2347,0,0,0,270
1179.88,-6.9157,60.426,0,0,0,270
1179.89,-5.2819,62.3168,0,0,0,270
1179.9,-4.0244,63.784,0,0,0,270
1179.91,-4.0244,63.784,0,0,0,270
1179.92,-3.3864,64.513,0,0,0,270
1179.93,-3.1353,64.851,0,0,0,270
1179.94,-2.9899,65.1249,0,0,0,270
1179.95,-2.8866,65.3759,0,0,0,270
1179.96,-2.8194,65.5445,0,0,0,270
1179.97,-2.7474,65.6976,0,0,0,270
1179.98,-2.6919,65.8028,0,0,0,270
1179.99,-2.6308,65.9116,0,0,0,270
1180,-2.5812,65.9742,0,0,0,270
1180.01,-2.4861,66.0883,0,0,0,270
1180.02,-2.3678,66.2305,0,0,0,270
1180.03,-2.2866,66.3355,0,0,0,270
1180.04,-2.2051,66.4767,0,0,0,270
1180.05,-2.1553,66.5859,0,0,0,270
1180.06,-2.0887,66.6782,0,0,0,270
1180.07,-2.0515,66.7568,0,0,0,270
1180.08,-2.0127,66.7772,0,0,0,270
1180.09,-1.9818,66.8601,0,0,0,270
1180.1,-1.9258,66.8969,0,0,0,270
