time,pos_x,pos_y,pressure
1142.479,-1.685143,-71.98077,0.7693059
1142.489,-1.657164,-71.89233,0.7702835
1142.499,-1.623582,-71.76853,0.771261
1142.509,-1.595603,-71.62704,0.7722385
1142.519,-1.506062,-71.46785,0.7741935
1142.529,-1.433304,-71.32635,0.7790811
1142.539,-1.36615,-71.18486,0.7839687
1142.549,-1.338166,-71.11411,0.7869013
1142.559,-1.248625,-70.93725,0.7947214
1142.569,-1.20945,-70.83112,0.797654
1142.579,-1.136697,-70.76038,0.799609
1142.589,-1.108713,-70.74268,0.8005865
1142.599,-1.058347,-70.68963,0.801564
1142.609,-0.979997,-70.63657,0.8044966
1142.619,-0.9296263,-70.56582,0.8074291
1142.629,-0.8960491,-70.51276,0.8093842
1142.639,-0.8680696,-70.49507,0.8113392
1142.649,-0.8400854,-70.45969,0.8132942
1142.659,-0.8009104,-70.45969,0.8152493
1142.669,-0.8009104,-70.42432,0.8162268
1142.679,-0.8009104,-70.42432,0.8181818
1142.689,-0.8009104,-70.42432,0.8211144
1142.699,-0.8009104,-70.42432,0.8240469
1142.709,-0.8009104,-70.42432,0.8269795
1142.719,-0.8009104,-70.42432,0.827957
1142.729,-0.8009104,-70.42432,0.827957
1142.739,-0.8009104,-70.42432,0.829912
1142.749,-0.8009104,-70.42432,0.8308895
1142.759,-0.8009104,-70.42432,0.831867
1142.769,-0.8009104,-70.42432,0.8328446
1142.779,-0.7673331,-70.42432,0.8328446
1142.789,-0.7673331,-70.42432,0.8338221
1142.809,-0.7393488,-70.45969,0.8347996
1142.819,-0.7393488,-70.49507,0.8357771
1142.829,-0.7393488,-70.49507,0.8367546
1142.839,-0.7393488,-70.49507,0.8377321
1142.849,-0.7393488,-70.49507,0.8387097
1142.864,-0.7113694,-70.49507,0.8387097
1142.869,-0.7113694,-70.49507,0.8387097
1142.879,-0.7113694,-70.49507,0.8396872
1142.889,-0.7113694,-70.49507,0.8406647
1142.899,-0.7785239,-70.49507,0.8416422
1142.909,-0.9184355,-70.51276,0.8426197
1142.919,-1.136697,-70.54813,0.8445748
1142.929,-1.4445,-70.5835,0.8445748
1142.939,-2.121667,-70.54813,0.8455523
1142.949,-2.412681,-70.51276,0.8465298
1142.959,-3.145812,-70.35357,0.8484849
1142.969,-4.074818,-70.0529,0.8514174
1142.979,-5.138137,-69.57536,0.8553275
1142.989,-6.279808,-68.97399,0.8592376
1142.999,-7.50542,-68.19578,0.8631476
1143.009,-8.859755,-67.29374,0.8651026
1143.019,-11.21585,-65.59579,0.8670577
1143.029,-12.90597,-64.2339,0.8670577
1143.039,-14.5793,-62.6067,0.8680352
1143.049,-15.42436,-61.6693,0.8680352
1143.059,-17.05851,-59.54687,0.8709677
1143.069,-19.38662,-55.86799,0.8748778
1143.079,-20.90885,-53.12652,0.8778104
1143.089,-22.21841,-50.20818,0.8797654
1143.099,-23.37687,-46.97147,0.8807429
1143.109,-24.27789,-43.52253,0.8826979
1143.119,-24.99424,-39.91439,0.8836755
1143.129,-25.60424,-36.04096,0.8856305
1143.139,-26.10233,-32.13215,0.8875855
1143.149,-26.49967,-27.95804,0.888563
1143.159,-26.75711,-23.69549,0.888563
1143.169,-26.82986,-19.23839,0.8875855
1143.179,-26.78509,-14.69285,0.8856305
1143.189,-26.53885,-10.12963,0.884653
1143.199,-26.15269,-5.637154,0.8856305
1143.209,-25.62104,-1.250791,0.8875855
1143.219,-24.98864,2.994065,0.8934506
1143.229,-24.27789,7.150495,0.9002932
1143.239,-23.44403,11.20079,0.9061583
1143.249,-22.43108,15.16267,0.9100685
1143.259,-21.295,19.00072,0.911046
1143.269,-20.09177,22.6796,0.9120235
1143.279,-18.88854,26.14623,0.911046
1143.289,-17.73568,29.48907,0.9100685
1143.299,-16.66117,32.46046,0.9081134
1143.309,-15.665,35.30806,0.9081134
1143.319,-14.736,37.97878,0.9081134
1143.329,-13.71185,40.50801,0.9090909
1143.339,-12.62055,42.98419,0.9100685
1143.349,-11.46769,45.42497,0.911046
1143.359,-10.25886,47.77733,0.9120235
1143.369,-9.128382,50.05894,0.9139785
1143.379,-7.99231,52.18138,0.9159335
1143.389,-6.968165,54.10925,0.9159335
1143.399,-6.044757,55.96637,0.9169111
1143.409,-5.194101,57.6997,0.9169111
1143.419,-4.388218,59.20308,0.9169111
1143.429,-3.671876,60.56497,0.9178886
1143.439,-3.089848,61.83843,0.9178886
1143.449,-2.580572,63.00577,0.9188661
1143.459,-2.172033,64.06698,0.9217986
1143.469,-1.813864,64.93365,0.9257087
1143.479,-1.545237,65.60575,0.9296188
1143.489,-1.36615,66.10098,0.9335288
1143.499,-1.265413,66.41934,0.9354839
1143.509,-1.198254,66.63159,0.9374389
1143.519,-1.164677,66.80846,0.9384164
1143.529,-1.136697,66.96764,0.9393939
1143.539,-1.108713,67.12682,0.9403715
1143.549,-1.069538,67.28601,0.941349
1143.559,-1.030363,67.40981,0.9423265
1143.569,-0.9967856,67.49825,0.943304
1143.579,-0.9576106,67.56899,0.943304
1143.589,-0.9296263,67.62205,0.943304
1143.599,-0.8512762,67.67512,0.9423265
1143.609,-0.7785239,67.71049,0.943304
1143.619,-0.7001737,67.76354,0.943304
1143.629,-0.6274214,67.78123,0.9423265
1143.639,-0.5882463,67.81661,0.9423265
1143.649,-0.5602621,67.85198,0.9423265
1143.659,-0.5210871,67.85198,0.9423265
1143.669,-0.5210871,67.86967,0.9423265
1143.679,-0.4931076,67.90504,0.943304
1143.689,-0.4595304,67.94042,0.9442815
1143.699,-0.4315461,67.97579,0.945259
1143.709,-0.3699846,68.01116,0.9462366
1143.719,-0.3699846,68.01116,0.945259
1143.729,-0.3420052,68.02885,0.945259
1143.739,-0.3420052,68.02885,0.9462366
1143.749,-0.3420052,68.02885,0.9462366
1143.759,-0.3420052,68.02885,0.9481916
1143.769,-0.3420052,68.02885,0.9481916
1143.779,-0.3420052,68.06423,0.9491691
1143.789,-0.3420052,68.06423,0.9481916
1143.799,-0.3420052,68.0996,0.9481916
1143.809,-0.3140209,68.0996,0.9481916
1143.819,-0.3140209,68.0996,0.9481916
1143.829,-0.3140209,68.11729,0.9491691
1143.839,-0.2804436,68.11729,0.9501466
1143.849,-0.2524594,68.15266,0.9501466
1143.859,-0.2132843,68.15266,0.9491691
1143.869,-0.2132843,68.15266,0.9491691
1143.879,-0.2132843,68.15266,0.9501466
1143.889,-0.2132843,68.15266,0.9511241
1143.899,-0.2132843,68.15266,0.9521016
1143.909,-0.2132843,68.15266,0.9521016
1143.919,-0.2132843,68.15266,0.9521016
1143.929,-0.2132843,68.15266,0.9530792
1143.939,-0.2132843,68.15266,0.9530792
1143.949,-0.2132843,68.15266,0.9530792
1143.959,-0.2132843,68.15266,0.9530792
1143.969,-0.2412686,68.15266,0.9521016
1143.979,-0.3140209,68.11729,0.9521016
1143.989,-0.3699846,68.02885,0.9530792
1143.999,-0.4091597,67.94042,0.9530792
1144.009,-0.4819168,67.8343,0.9540567
1144.019,-0.5098962,67.72817,0.9550342
1144.029,-0.5378805,67.65742,0.9540567
1144.039,-0.5378805,67.56899,0.9540567
1144.049,-0.5714577,67.48056,0.9550342
1144.059,-0.5994372,67.39212,0.9540567
1144.069,-0.5994372,67.32138,0.9540567
1144.079,-0.6386123,67.23294,0.9550342
1144.099,-0.6721943,67.03839,0.9550342
1144.109,-0.7113694,66.93227,0.9550342
1144.119,-0.7785239,66.84383,0.9550342
1144.129,-0.8065081,66.77309,0.9540567
1144.139,-0.856874,66.70233,0.9540567
1144.149,-0.8904513,66.66696,0.9550342
1144.159,-0.8904513,66.64928,0.9560117
1144.169,-0.9184355,66.64928,0.9560117
1144.179,-0.9184355,66.64928,0.9560117
1144.189,-0.9184355,66.61391,0.9569892
1144.199,-0.9464198,66.61391,0.9579667
1144.209,-0.98559,66.54315,0.9569892
1144.219,-1.019172,66.45471,0.9560117
1144.229,-1.069538,66.31322,0.9560117
1144.239,-1.119909,66.04791,0.9540567
1144.249,-1.147888,65.65881,0.9530792
1144.259,-1.108713,64.73908,0.9521016
1144.269,-1.075136,64.3146,0.9521016
1144.279,-0.98559,63.2357,0.9521016
1144.289,-0.856874,61.8738,0.9511241
1144.299,-0.6721943,60.14048,0.9501466
1144.309,-0.3587938,56.77998,0.9491691
1144.319,-0.2020935,54.05619,0.9491691
1144.329,-0.1013569,50.87255,0.9501466
1144.339,-0.1013569,49.15692,0.9501466
1144.349,-0.0733775,45.51341,0.9511241
1144.359,-0.1125526,41.42773,0.9521016
1144.369,-0.1629184,34.86589,0.9540567
1144.379,-0.2132843,30.16117,0.9560117
1144.389,-0.263655,25.31495,0.9579667
1144.399,-0.3028301,20.2388,0.9589443
1144.409,-0.3028301,15.16267,0.9599218
1144.419,-0.2692528,10.03346,0.9608993
1144.429,-0.2412686,4.921943,0.9618768
1144.439,-0.2132843,-0.1011513,0.9618768
1144.449,-0.1797071,-5.124232,0.9628543
1144.459,-0.22448,-10.09426,0.9618768
1144.469,-0.2524594,-14.95816,0.9618768
1144.479,-0.2524594,-19.71593,0.9618768
1144.489,-0.22448,-24.34991,0.9618768
1144.499,-0.1909027,-28.8247,0.9618768
1144.509,-0.1013569,-33.14031,0.9608993
1144.519,-0.02300682,-37.22598,0.9599218
1144.529,0.01616825,-41.18785,0.9579667
1144.539,0.0497455,-44.90211,0.9569892
1144.549,0.0497455,-48.47486,0.9560117
1144.559,0.01616825,-51.76463,0.9560117
1144.569,0.0497455,-54.84215,0.9560117
1144.579,0.1057092,-57.65437,0.9550342
1144.589,0.1840593,-60.16591,0.9540567
1144.599,0.2568116,-62.44753,0.9550342
1144.609,0.3575482,-64.48152,0.9540567
1144.619,0.4079141,-66.30328,0.9540567
1144.629,0.4638826,-67.98353,0.9540567
1144.639,0.4638826,-69.53998,0.9540567
1144.649,0.3855325,-70.88419,0.9540567
1144.659,0.2456208,-72.03383,0.9550342
1144.669,0.07772975,-72.98892,0.9540567
1144.679,-0.06218188,-73.73177,0.9550342
1144.689,-0.1797071,-74.35082,0.9550342
1144.699,-0.2804436,-74.86374,0.9560117
