time,pos_x,pos_y,pressure
1384.219,0.03855469,-70.33588,0.7673509
1384.229,0.03855469,-70.33588,0.7673509
1384.239,0.06653413,-70.33588,0.7663734
1384.259,0.09451839,-70.3182,0.7663734
1384.269,0.09451839,-70.3182,0.7683284
1384.279,0.09451839,-70.28282,0.7693059
1384.289,0.09451839,-70.28282,0.771261
1384.299,0.09451839,-70.24745,0.7741935
1384.309,0.09451839,-70.24745,0.7761486
1384.319,0.09451839,-70.24745,0.7781036
1384.329,0.06653413,-70.24745,0.7790811
1384.339,0.06653413,-70.24745,0.7810361
1384.349,0.06653413,-70.24745,0.7829912
1384.359,0.06653413,-70.24745,0.7859238
1384.369,0.06653413,-70.24745,0.7898338
1384.379,0.06653413,-70.24745,0.7908114
1384.389,0.06653413,-70.24745,0.7927664
1384.399,0.06653413,-70.24745,0.7937439
1384.409,0.06653413,-70.24745,0.7956989
1384.419,0.03855469,-70.24745,0.7966765
1384.429,0.03855469,-70.24745,0.799609
1384.439,0.03855469,-70.24745,0.8025416
1384.449,0.03855469,-70.24745,0.8044966
1384.459,0.03855469,-70.24745,0.8074291
1384.469,0.004972627,-70.24745,0.8093842
1384.479,0.004972627,-70.28282,0.8113392
1384.489,0.004972627,-70.28282,0.8132942
1384.499,0.004972627,-70.28282,0.8142717
1384.509,0.004972627,-70.3182,0.8142717
1384.519,0.004972627,-70.3182,0.8152493
1384.529,0.004972627,-70.3182,0.8162268
1384.539,0.004972627,-70.33588,0.8181818
1384.549,0.004972627,-70.37126,0.8201368
1384.559,0.004972627,-70.40663,0.8220919
1384.569,0.004972627,-70.44201,0.8220919
1384.579,0.004972627,-70.47738,0.8230694
1384.589,0.004972627,-70.51276,0.8240469
1384.599,0.03855469,-70.51276,0.8230694
1384.609,0.09451839,-70.51276,0.8240469
1384.619,0.1392865,-70.51276,0.8240469
1384.629,0.2959867,-70.38895,0.8250244
1384.639,0.4974599,-70.19439,0.8260019
1384.649,0.7548967,-69.7876,0.8269795
1384.659,0.9004014,-69.50461,0.827957
1384.669,1.23059,-68.76175,0.8289345
1384.679,1.829407,-67.16993,0.8357771
1384.689,2.237947,-65.79035,0.8426197
1384.699,2.663275,-64.18084,0.8504399
1384.709,3.049427,-62.32372,0.8572825
1384.719,3.429982,-60.09516,0.8621701
1384.729,3.810542,-57.4775,0.8651026
1384.739,4.224675,-54.39997,0.8699902
1384.749,4.722755,-50.91565,0.8739003
1384.759,5.282396,-47.02453,0.8787879
1384.769,5.886811,-42.76199,0.8817204
1384.779,6.463242,-38.19876,0.8826979
1384.789,7.062058,-33.38792,0.884653
1384.799,7.649684,-28.43559,0.8856305
1384.809,8.153362,-23.34175,0.886608
1384.819,8.561902,-18.1418,0.8875855
1384.829,8.813741,-12.80035,0.888563
1384.839,8.903281,-7.388154,0.888563
1384.849,8.869704,-2.064399,0.888563
1384.859,8.673829,3.259368,0.8875855
1384.869,8.214924,8.459327,0.8875855
1384.879,7.576932,13.42934,0.8856305
1384.889,6.821415,18.27555,0.8856305
1384.899,6.015532,22.92722,0.8856305
1384.909,5.181665,27.41969,0.886608
1384.919,4.347797,31.7353,0.8895406
1384.929,3.54191,35.90942,0.8905181
1384.939,2.870341,39.97741,0.8934506
1384.949,2.405838,43.97465,0.8944281
1384.959,2.098035,47.83039,0.8944281
1384.969,1.896562,51.50927,0.8944281
1384.979,1.756655,55.02896,0.8934506
1384.989,1.650321,58.14187,0.8924731
1384.999,1.527202,61.02483,0.8895406
1385.009,1.398482,63.60713,0.886608
1385.019,1.25857,65.87105,0.8836755
1385.029,1.129854,67.81661,0.8817204
1385.039,0.9731537,69.51456,0.8817204
1385.049,0.833242,70.9472,0.8807429
1385.059,0.6653509,72.89275,0.8807429
1385.069,0.614985,73.45874,0.8817204
1385.079,0.5870008,74.4492,0.884653
1385.089,0.5534235,75.26279,0.8895406
1385.099,0.5142485,75.89953,0.8954057
1385.109,0.5646144,76.55394,0.9061583
1385.119,0.614985,76.71312,0.9081134
1385.129,0.7157216,76.97842,0.911046
1385.139,0.7828761,77.24374,0.913001
1385.149,0.8724171,77.38524,0.9139785
1385.159,0.9004014,77.45598,0.9159335
1385.169,0.9004014,77.49135,0.9208211
