time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
74147.97,-0.0342,-69.5438,0,0,0,270
74147.98,-0.0342,-69.5175,0,0,0,270
74147.99,-0.06,-69.4869,0,0,0,270
74148,-0.0993,-69.5706,0,0,0,270
74148.01,-0.1014,-69.63,0,0,0,270
74148.02,-0.1268,-69.673,0,0,0,270
74148.03,-0.1349,-69.7025,0,0,0,270
74148.04,-0.1349,-69.7169,0,0,0,270
74148.05,-0.1349,-69.7069,0,0,0,270
74148.05,-0.1349,-69.6868,0,0,0,270
74148.07,-0.1349,-69.6638,0,0,0,270
74148.08,-0.1349,-69.6638,0,0,0,270
74148.09,-0.1349,-69.6638,0,0,0,270
74148.1,-0.1349,-69.6638,0,0,0,270
74148.11,-0.1349,-69.6638,0,0,0,270
74148.12,-0.1349,-69.6638,0,0,0,270
74148.13,-0.1349,-69.6467,0,0,0,270
74148.14,-0.1349,-69.6284,0,0,0,270
74148.15,-0.1349,-69.6284,0,0,0,270
74148.16,-0.1349,-69.6284,0,0,0,270
74148.17,-0.1349,-69.6284,0,0,0,270
74148.18,-0.1349,-69.6305,0,0,0,270
74148.19,-0.1349,-69.6935,0,0,0,270
74148.2,-0.1349,-69.6992,0,0,0,270
74148.21,-0.1349,-69.6992,0,0,0,270
74148.22,-0.1349,-69.7118,0,0,0,270
74148.23,-0.1349,-69.7169,0,0,0,270
74148.24,-0.1349,-69.7169,0,0,0,270
74148.25,-0.1349,-69.7513,0,0,0,270
74148.26,-0.1545,-69.8361,0,0,0,270
74148.27,-0.2015,-69.9272,0,0,0,270
74148.28,-0.2245,-70.0026,0,0,0,270
74148.29,-0.2488,-70.0506,0,0,0,270
74148.3,-0.2864,-70.0836,0,0,0,270
74148.3,-0.3261,-70.0641,0,0,0,270
74148.32,-0.342,-70.0413,0,0,0,270
74148.33,-0.3927,-70.0015,0,0,0,270
74148.34,-0.5038,-69.9007,0,0,0,270
74148.35,-0.6382,-69.7326,0,0,0,270
74148.36,-0.79,-69.487,0,0,0,270
74148.37,-0.9613,-69.0884,0,0,0,270
74148.38,-1.092,-68.6373,0,0,0,270
74148.39,-1.2111,-67.8468,0,0,0,270
74148.4,-1.2961,-67.1673,0,0,0,270
74148.41,-1.5158,-65.3948,0,0,0,270
74148.42,-1.6578,-64.2708,0,0,0,270
74148.43,-1.8396,-62.8108,0,0,0,270
74148.44,-2.2343,-58.6905,0,0,0,270
74148.45,-2.4772,-52.9564,0,0,0,270
74148.46,-2.5308,-49.7926,0,0,0,270
74148.47,-2.5632,-47.1861,0,0,0,270
74148.48,-2.5694,-43.5735,0,0,0,270
74148.49,-2.5694,-39.692,0,0,0,270
74148.5,-2.5694,-36.3674,0,0,0,270
74148.51,-2.5694,-32.9692,0,0,0,270
74148.52,-2.5568,-28.6204,0,0,0,270
74148.53,-2.522,-25.1288,0,0,0,270
74148.54,-2.3859,-18.8766,0,0,0,270
74148.55,-1.9766,-10.2549,0,0,0,270
74148.55,-1.7022,-6.1436,0,0,0,270
74148.57,-1.3043,-1.7944,0,0,0,270
74148.58,-0.9489,1.4782,0,0,0,270
74148.59,-0.5812,4.5891,0,0,0,270
74148.6,-0.1769,7.5307,0,0,0,270
74148.61,0.2208,10.3368,0,0,0,270
74148.62,0.6726,13.583,0,0,0,270
74148.63,0.909,15.4028,0,0,0,270
74148.64,1.6499,21.9481,0,0,0,270
74148.65,2.211,28.4932,0,0,0,270
74148.66,2.4298,31.3334,0,0,0,270
74148.67,2.6017,34.1799,0,0,0,270
74148.68,2.6871,36.2904,0,0,0,270
74148.69,2.7448,38.0867,0,0,0,270
74148.7,2.7783,39.8732,0,0,0,270
74148.71,2.7832,41.7786,0,0,0,270
74148.72,2.6992,44.6408,0,0,0,270
74148.73,2.6038,46.3032,0,0,0,270
74148.74,2.3098,49.8533,0,0,0,270
74148.75,1.8667,54.2763,0,0,0,270
74148.76,1.7182,56.004,0,0,0,270
74148.77,1.6184,57.8459,0,0,0,270
74148.78,1.6,59.3928,0,0,0,270
74148.79,1.6,60.6559,0,0,0,270
74148.8,1.6317,62.6304,0,0,0,270
74148.8,1.6671,64.7282,0,0,0,270
74148.82,1.6798,66.4841,0,0,0,270
74148.83,1.7033,68.1,0,0,0,270
74148.84,1.7287,70.7495,0,0,0,270
74148.85,1.7876,71.5681,0,0,0,270
74148.86,1.7958,71.6547,0,0,0,270
74148.87,1.7958,71.5216,0,0,0,270
74148.88,1.7842,71.3128,0,0,0,270
74148.89,1.7567,71.0149,0,0,0,270
74148.9,1.7251,70.7905,0,0,0,270
74148.91,1.6625,70.3856,0,0,0,270
74148.92,1.6114,69.6765,0,0,0,270
74148.93,1.7101,69.1963,0,0,0,270
74148.94,1.7752,68.9913,0,0,0,270
74148.95,1.8293,68.8252,0,0,0,270
74148.96,1.8406,68.7617,0,0,0,270
74148.97,1.8228,68.7176,0,0,0,270
74148.98,1.807,68.6896,0,0,0,270
74148.99,1.7989,68.6656,0,0,0,270
74149,1.779,68.6642,0,0,0,270
74149.01,1.8319,68.5416,0,0,0,270
74149.02,1.9469,68.2942,0,0,0,270
74149.03,1.9469,68.2942,0,0,0,270
74149.04,2.0024,68.135,0,0,0,270
74149.05,1.9821,68.0618,0,0,0,270
74149.05,1.9512,68.0278,0,0,0,270
74149.07,1.9064,68.0112,0,0,0,270
74149.08,1.8767,68.0112,0,0,0,270
74149.09,1.8574,68.0024,0,0,0,270
74149.1,1.8574,67.9758,0,0,0,270
74149.11,1.8574,67.9471,0,0,0,270
74149.12,1.8796,67.9123,0,0,0,270
74149.13,1.86,67.9051,0,0,0,270
74149.14,1.788,67.97,0,0,0,270
74149.15,1.6693,68.0757,0,0,0,270
74149.16,1.5628,68.1801,0,0,0,270
74149.17,1.4681,68.2812,0,0,0,270
74149.18,1.3867,68.3504,0,0,0,270
74149.19,1.3313,68.3649,0,0,0,270
74149.2,1.3305,68.3649,0,0,0,270
74149.21,1.2922,68.3512,0,0,0,270
74149.22,1.2922,68.3079,0,0,0,270
74149.23,1.2922,68.2942,0,0,0,270
74149.24,1.2734,68.2942,0,0,0,270
74149.25,1.2264,68.3349,0,0,0,270
74149.26,1.1729,68.3918,0,0,0,270
74149.27,1.0972,68.462,0,0,0,270
74149.28,1.0414,68.5247,0,0,0,270
74149.29,1.0123,68.5772,0,0,0,270
74149.3,0.9854,68.5772,0,0,0,270
74149.3,0.9844,68.5772,0,0,0,270
74149.32,0.9844,68.5772,0,0,0,270
74149.33,0.9644,68.5772,0,0,0,270
74149.34,0.9338,68.5772,0,0,0,270
74149.35,0.9,68.5875,0,0,0,270
74149.36,0.8836,68.5948,0,0,0,270
74149.37,0.8836,68.5948,0,0,0,270
74149.38,0.8836,68.5948,0,0,0,270
74149.39,0.8836,68.6295,0,0,0,270
74149.4,0.9109,68.6302,0,0,0,270
74149.41,0.9116,68.6302,0,0,0,270
74149.42,0.9116,68.6302,0,0,0,270
74149.43,0.9116,68.6302,0,0,0,270
74149.44,0.9116,68.6302,0,0,0,270
74149.45,0.9116,68.6302,0,0,0,270
74149.46,0.9278,68.6302,0,0,0,270
74149.47,0.9508,68.6302,0,0,0,270
74149.48,0.9589,68.6217,0,0,0,270
74149.49,0.9844,68.5948,0,0,0,270
74149.5,0.9844,68.5948,0,0,0,270
74149.51,0.9844,68.5948,0,0,0,270
74149.52,0.9844,68.5816,0,0,0,270
74149.53,1.0005,68.5057,0,0,0,270
74149.54,1.0402,68.4045,0,0,0,270
74149.55,1.1062,68.198,0,0,0,270
74149.55,1.1764,67.8654,0,0,0,270
74149.57,1.2915,67.1968,0,0,0,270
74149.58,1.4124,66.4461,0,0,0,270
74149.59,1.6567,64.74,0,0,0,270
74149.6,2.1515,60.9841,0,0,0,270
74149.61,2.3989,58.7648,0,0,0,270
74149.62,2.7208,55.7654,0,0,0,270
74149.63,2.9969,52.9763,0,0,0,270
74149.64,3.2912,49.9377,0,0,0,270
74149.65,3.5856,47.2998,0,0,0,270
74149.66,4.1925,42.4245,0,0,0,270
74149.67,4.9238,36.9104,0,0,0,270
74149.68,5.5168,32.4768,0,0,0,270
74149.69,6.4458,24.3394,0,0,0,270
74149.7,7.2294,13.7473,0,0,0,270
74149.71,7.5018,8.1441,0,0,0,270
74149.72,7.6063,1.7323,0,0,0,270
74149.73,7.5668,-2.5671,0,0,0,270
74149.74,7.4498,-7.448,0,0,0,270
74149.75,7.3466,-10.9528,0,0,0,270
74149.76,7.0943,-20.7836,0,0,0,270
74149.77,6.9543,-28.2831,0,0,0,270
74149.78,6.8193,-33.082,0,0,0,270
74149.79,6.6826,-36.6196,0,0,0,270
74149.8,6.4509,-40.8696,0,0,0,270
74149.8,6.1879,-44.5789,0,0,0,270
74149.82,5.8792,-47.9498,0,0,0,270
74149.83,5.5745,-50.6934,0,0,0,270
74149.84,4.9119,-55.9126,0,0,0,270
74149.85,4.2639,-61.0856,0,0,0,270
74149.86,4.2639,-61.0856,0,0,0,270
74149.87,3.9121,-65.4653,0,0,0,270
74149.88,3.7083,-68.2486,0,0,0,270
74149.89,3.5448,-70.5224,0,0,0,270
74149.9,3.3863,-72.4981,0,0,0,270
74149.91,3.2535,-74.0029,0,0,0,270
