experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath
High,P_180612095751,1,1,1,1,362.2541,363.1649,Example,0,FFFF00,SquareTarget,00FFFF|FFFF00|FF00FF,SquareTarget|TriangleTarget|CircleTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,362.66,,,0.331755,,,High/P_180612095751/S001/visual_pointer_movement_T001.csv,High/P_180612095751/S001/collision_pointer_movement_T001.csv
High,P_180612095751,1,2,1,2,365.5609,368.5009,Example,0,FF00FF,TriangleTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,TimeoutMiddleMoved,,,DetectPos,VisualPointer,366.02,366.44,367.9,0.3788851,0.314194,,High/P_180612095751/S001/visual_pointer_movement_T002.csv,High/P_180612095751/S001/collision_pointer_movement_T002.csv
High,P_180612095751,1,3,1,3,377.6461,379.7,Example,0,00FFFF,TriangleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,Success,00FFFF,SquareTarget,DetectPos,,378.12,378.52,379.32,0.4586309,0.3004036,1,High/P_180612095751/S001/visual_pointer_movement_T003.csv,High/P_180612095751/S001/collision_pointer_movement_T003.csv
High,P_180612095751,1,4,1,4,387.3725,389.5683,Example,0,FF00FF,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,TimeoutMiddleMoved,,,DetectPos,VisualPointer,387.68,388.1,388.96,0.4903595,0.4785011,,High/P_180612095751/S001/visual_pointer_movement_T004.csv,High/P_180612095751/S001/collision_pointer_movement_T004.csv
High,P_180612095751,1,5,2,1,402.4943,403.7045,Practice,0,00FFFF,CircleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|TriangleTarget|CircleTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,403.2,,,0.4278489,,,High/P_180612095751/S001/visual_pointer_movement_T005.csv,High/P_180612095751/S001/collision_pointer_movement_T005.csv
High,P_180612095751,1,6,2,2,410.8353,413.0601,Practice,0,FFFF00,TriangleTarget,FF00FF|00FFFF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,MouseLifted,,,DetectPos,VisualPointer,411.36,411.82,412.7,0.4738998,0.3013415,,High/P_180612095751/S001/visual_pointer_movement_T006.csv,High/P_180612095751/S001/collision_pointer_movement_T006.csv
High,P_180612095751,1,7,2,3,416.5158,417.96,Practice,0,FFFF00,CircleTarget,00FFFF|FF00FF|FFFF00,SquareTarget|TriangleTarget|CircleTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,417.46,,,0.3336114,,,High/P_180612095751/S001/visual_pointer_movement_T007.csv,High/P_180612095751/S001/collision_pointer_movement_T007.csv
High,P_180612095751,1,8,2,4,423.5479,425.72,Practice,0,FF00FF,TriangleTarget,FF00FF|00FFFF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,Success,FF00FF,SquareTarget,DetectPos,,424.3,424.62,425.5,0.3437174,0.4013024,1,High/P_180612095751/S001/visual_pointer_movement_T008.csv,High/P_180612095751/S001/collision_pointer_movement_T008.csv
High,P_180612095751,1,9,2,5,430.589,434.207,Practice,0,00FFFF,SquareTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,TimeoutMiddleMoved,,,DetectPos,VisualPointer,432.1,432.52,433.6,0.5024387,0.5246781,,High/P_180612095751/S001/visual_pointer_movement_T009.csv,High/P_180612095751/S001/collision_pointer_movement_T009.csv
High,P_180612095751,1,10,2,6,436.1609,438.32,Practice,0,FF00FF,CircleTarget,00FFFF|FFFF00|FF00FF,CircleTarget|TriangleTarget|SquareTarget,Success,FF00FF,SquareTarget,DetectPos,,436.64,437.04,438.02,0.3538727,0.5613731,2,High/P_180612095751/S001/visual_pointer_movement_T010.csv,High/P_180612095751/S001/collision_pointer_movement_T010.csv
High,P_180612095751,1,11,3,1,445.5714,446.84,PosToNeg,0.9,FF00FF,SquareTarget,FF00FF|FFFF00|00FFFF,CircleTarget|SquareTarget|TriangleTarget,HitObstacle,,,DetectNeg,Obstacle,446.66,,,0.4063267,,,High/P_180612095751/S001/visual_pointer_movement_T011.csv,High/P_180612095751/S001/collision_pointer_movement_T011.csv
High,P_180612095751,1,12,3,2,449.804,451.14,PosToNeg,0.8357143,FFFF00,CircleTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,MiddleMovedEarly,,,DetectNeg,IntermediateCircle,450.54,450.92,,0.3212734,,,High/P_180612095751/S001/visual_pointer_movement_T012.csv,High/P_180612095751/S001/collision_pointer_movement_T012.csv
High,P_180612095751,1,13,3,3,454.0399,457.2279,PosToNeg,0.7714285,FF00FF,SquareTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,TimeoutMiddleMoved,,,DetectNeg,VisualPointer,455.12,455.52,456.62,0.3926194,0.3566336,,High/P_180612095751/S001/visual_pointer_movement_T013.csv,High/P_180612095751/S001/collision_pointer_movement_T013.csv
High,P_180612095751,1,14,3,4,459.4981,462.04,PosToNeg,0.7071428,FFFF00,CircleTarget,00FFFF|FF00FF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,Success,FFFF00,TriangleTarget,DetectNeg,,460.3,460.64,461.64,0.395687,0.5816557,1,High/P_180612095751/S001/visual_pointer_movement_T014.csv,High/P_180612095751/S001/collision_pointer_movement_T014.csv
High,P_180612095751,1,15,3,5,464.6995,466.78,PosToNeg,0.6428571,FF00FF,TriangleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,Success,FF00FF,CircleTarget,DetectNeg,,465.26,465.62,466.46,0.596653,0.4489423,2,High/P_180612095751/S001/visual_pointer_movement_T015.csv,High/P_180612095751/S001/collision_pointer_movement_T015.csv
High,P_180612095751,1,16,3,6,468.8889,471.38,PosToNeg,0.5785714,FF00FF,CircleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|TriangleTarget|CircleTarget,Success,FF00FF,CircleTarget,DetectNeg,,469.62,470,470.96,0.3425003,0.5455558,3,High/P_180612095751/S001/visual_pointer_movement_T016.csv,High/P_180612095751/S001/collision_pointer_movement_T016.csv
High,P_180612095751,1,17,3,7,473.9754,476.36,PosToNeg,0.5142857,FF00FF,CircleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|TriangleTarget|CircleTarget,Success,FF00FF,CircleTarget,DetectNeg,,474.64,475,475.98,0.5471494,0.5879471,4,High/P_180612095751/S001/visual_pointer_movement_T017.csv,High/P_180612095751/S001/collision_pointer_movement_T017.csv
High,P_180612095751,1,18,3,8,478.5859,481.04,PosToNeg,0.45,FFFF00,TriangleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|CircleTarget|SquareTarget,Success,FFFF00,CircleTarget,DetectNeg,,479.26,479.64,480.6,0.4179037,0.5452808,5,High/P_180612095751/S001/visual_pointer_movement_T018.csv,High/P_180612095751/S001/collision_pointer_movement_T018.csv
High,P_180612095751,1,19,3,9,483.2076,486.18,PosToNeg,0.3857143,00FFFF,CircleTarget,00FFFF|FFFF00|FF00FF,SquareTarget|TriangleTarget|CircleTarget,Success,00FFFF,SquareTarget,DetectNeg,,484.46,484.84,485.76,0.3074834,0.4343905,6,High/P_180612095751/S001/visual_pointer_movement_T019.csv,High/P_180612095751/S001/collision_pointer_movement_T019.csv
High,P_180612095751,1,20,3,10,488.3412,490.68,PosToNeg,0.3214286,00FFFF,SquareTarget,00FFFF|FF00FF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,Success,00FFFF,SquareTarget,DetectNeg,,489.06,489.42,490.3,0.3739942,0.5012007,7,High/P_180612095751/S001/visual_pointer_movement_T020.csv,High/P_180612095751/S001/collision_pointer_movement_T020.csv
High,P_180612095751,1,21,3,11,492.6307,494.86,PosToNeg,0.2571428,FFFF00,TriangleTarget,00FFFF|FF00FF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,Success,FFFF00,TriangleTarget,DetectNeg,,493.22,493.6,494.5,0.3287337,0.5390133,8,High/P_180612095751/S001/visual_pointer_movement_T021.csv,High/P_180612095751/S001/collision_pointer_movement_T021.csv
High,P_180612095751,1,22,3,12,497.1278,499.08,PosToNeg,0.1928571,FF00FF,SquareTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,Success,FF00FF,SquareTarget,DetectNeg,,497.58,497.88,498.74,0.4857662,0.4764551,9,High/P_180612095751/S001/visual_pointer_movement_T022.csv,High/P_180612095751/S001/collision_pointer_movement_T022.csv
High,P_180612095751,1,23,3,13,501.0485,503.22,PosToNeg,0.1285714,00FFFF,SquareTarget,00FFFF|FF00FF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,Success,00FFFF,CircleTarget,DetectNeg,,501.62,501.96,502.84,0.4824519,0.5179687,10,High/P_180612095751/S001/visual_pointer_movement_T023.csv,High/P_180612095751/S001/collision_pointer_movement_T023.csv
High,P_180612095751,1,24,3,14,505.2076,507.4,PosToNeg,0.06428571,00FFFF,TriangleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,Success,00FFFF,CircleTarget,DetectNeg,,505.88,506.18,507.06,0.4398499,0.4061819,11,High/P_180612095751/S001/visual_pointer_movement_T024.csv,High/P_180612095751/S001/collision_pointer_movement_T024.csv
High,P_180612095751,1,25,3,15,509.3529,511.68,PosToNeg,0,FFFF00,SquareTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,Success,FFFF00,TriangleTarget,DetectNeg,,510.04,510.4,511.34,0.351932,0.5496972,12,High/P_180612095751/S001/visual_pointer_movement_T025.csv,High/P_180612095751/S001/collision_pointer_movement_T025.csv
High,P_180612095751,1,26,3,16,513.6926,515.96,PosToNeg,-0.06428571,00FFFF,CircleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|SquareTarget|CircleTarget,Success,00FFFF,CircleTarget,DetectNeg,,514.24,514.6,515.56,0.4858106,0.4561635,13,High/P_180612095751/S001/visual_pointer_movement_T026.csv,High/P_180612095751/S001/collision_pointer_movement_T026.csv
High,P_180612095751,1,27,3,17,518.0905,520.06,PosToNeg,-0.1285714,FF00FF,TriangleTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,Success,FF00FF,CircleTarget,DetectNeg,,518.5,518.78,519.72,0.4064072,0.59591,14,High/P_180612095751/S001/visual_pointer_movement_T027.csv,High/P_180612095751/S001/collision_pointer_movement_T027.csv
High,P_180612095751,1,28,3,18,522.1892,524.52,PosToNeg,-0.1928571,FFFF00,SquareTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,Success,FFFF00,SquareTarget,DetectNeg,,522.98,523.3,524.2,0.340224,0.4965762,15,High/P_180612095751/S001/visual_pointer_movement_T028.csv,High/P_180612095751/S001/collision_pointer_movement_T028.csv
High,P_180612095751,1,29,3,19,526.9722,529.28,PosToNeg,-0.2571428,FF00FF,CircleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,Success,FF00FF,CircleTarget,DetectPos,,527.58,527.94,528.78,0.5308446,0.4784128,16,High/P_180612095751/S001/visual_pointer_movement_T029.csv,High/P_180612095751/S001/collision_pointer_movement_T029.csv
High,P_180612095751,1,30,3,20,532.3781,534.3,PosToNeg,-0.3214286,FFFF00,CircleTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,Success,FFFF00,CircleTarget,DetectPos,,532.86,533.14,533.98,0.3521307,0.4424579,17,High/P_180612095751/S001/visual_pointer_movement_T030.csv,High/P_180612095751/S001/collision_pointer_movement_T030.csv
High,P_180612095751,1,31,3,21,536.6143,538.88,PosToNeg,-0.3857143,FFFF00,SquareTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|CircleTarget|SquareTarget,Success,FFFF00,TriangleTarget,DetectPos,,537.16,537.48,538.36,0.5850581,0.4984685,18,High/P_180612095751/S001/visual_pointer_movement_T031.csv,High/P_180612095751/S001/collision_pointer_movement_T031.csv
High,P_180612095751,1,32,3,22,541.225,543.02,PosToNeg,-0.45,FF00FF,SquareTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|SquareTarget|CircleTarget,Success,FF00FF,CircleTarget,DetectPos,,541.66,541.92,542.7,0.3844644,0.3124201,19,High/P_180612095751/S001/visual_pointer_movement_T032.csv,High/P_180612095751/S001/collision_pointer_movement_T032.csv
High,P_180612095751,1,33,3,23,545.1796,547.34,PosToNeg,-0.5142857,FFFF00,TriangleTarget,FFFF00|FF00FF|00FFFF,SquareTarget|TriangleTarget|CircleTarget,Success,FFFF00,SquareTarget,DetectPos,,546,546.32,547.04,0.4499523,0.304596,20,High/P_180612095751/S001/visual_pointer_movement_T033.csv,High/P_180612095751/S001/collision_pointer_movement_T033.csv
High,P_180612095751,1,34,3,24,549.5063,551.54,PosToNeg,-0.5785714,FF00FF,SquareTarget,FFFF00|FF00FF|00FFFF,CircleTarget|SquareTarget|TriangleTarget,Success,FF00FF,SquareTarget,DetectPos,,549.96,550.26,551.12,0.5859067,0.5145079,21,High/P_180612095751/S001/visual_pointer_movement_T034.csv,High/P_180612095751/S001/collision_pointer_movement_T034.csv
High,P_180612095751,1,35,3,25,554.2179,556.4686,PosToNeg,-0.6428571,00FFFF,TriangleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,TimeoutMiddleMoved,,,DetectPos,VisualPointer,554.66,555.04,555.86,0.3503174,0.4092848,,High/P_180612095751/S001/visual_pointer_movement_T035.csv,High/P_180612095751/S001/collision_pointer_movement_T035.csv
High,P_180612095751,1,36,3,26,558.8025,560.92,PosToNeg,-0.7071428,00FFFF,SquareTarget,FFFF00|00FFFF|FF00FF,SquareTarget|TriangleTarget|CircleTarget,Success,00FFFF,TriangleTarget,DetectPos,,559.28,559.66,560.62,0.5940477,0.5109755,22,High/P_180612095751/S001/visual_pointer_movement_T036.csv,High/P_180612095751/S001/collision_pointer_movement_T036.csv
High,P_180612095751,1,37,3,27,563.5051,565.6,PosToNeg,-0.7714285,FF00FF,CircleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|CircleTarget|TriangleTarget,Success,FF00FF,TriangleTarget,DetectPos,,563.96,564.34,565.28,0.5011528,0.403488,23,High/P_180612095751/S001/visual_pointer_movement_T037.csv,High/P_180612095751/S001/collision_pointer_movement_T037.csv
High,P_180612095751,1,38,3,28,567.9926,570.18,PosToNeg,-0.8357143,00FFFF,SquareTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|SquareTarget|CircleTarget,Success,00FFFF,TriangleTarget,DetectPos,,568.62,568.94,569.84,0.3067289,0.5573343,24,High/P_180612095751/S001/visual_pointer_movement_T038.csv,High/P_180612095751/S001/collision_pointer_movement_T038.csv
High,P_180612095751,1,39,3,29,572.2733,574.66,PosToNeg,-0.9,FF00FF,TriangleTarget,FF00FF|00FFFF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,Success,FF00FF,CircleTarget,DetectPos,,573.04,573.4,574.32,0.3262611,0.5221042,25,High/P_180612095751/S001/visual_pointer_movement_T039.csv,High/P_180612095751/S001/collision_pointer_movement_T039.csv
High,P_180612095751,1,40,4,1,576.7054,579.04,NegToPos,-0.9,00FFFF,CircleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,Success,00FFFF,CircleTarget,DetectPos,,577.64,577.92,578.74,0.4774829,0.3254115,26,High/P_180612095751/S001/visual_pointer_movement_T040.csv,High/P_180612095751/S001/collision_pointer_movement_T040.csv
High,P_180612095751,1,41,4,2,581.2566,583.36,NegToPos,-0.8357143,FFFF00,SquareTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,Success,FFFF00,SquareTarget,DetectPos,,581.86,582.16,583.02,0.3537894,0.4317811,27,High/P_180612095751/S001/visual_pointer_movement_T041.csv,High/P_180612095751/S001/collision_pointer_movement_T041.csv
High,P_180612095751,1,42,4,3,585.4417,588.28,NegToPos,-0.7714285,00FFFF,TriangleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|CircleTarget|SquareTarget,Success,00FFFF,SquareTarget,DetectPos,,586.86,587.2,588,0.3614634,0.3642277,28,High/P_180612095751/S001/visual_pointer_movement_T042.csv,High/P_180612095751/S001/collision_pointer_movement_T042.csv
High,P_180612095751,1,43,4,4,590.3751,593.98,NegToPos,-0.7071428,FFFF00,TriangleTarget,00FFFF|FF00FF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,Success,FFFF00,TriangleTarget,DetectPos,,592.28,592.62,593.62,0.33137,0.5131465,29,High/P_180612095751/S001/visual_pointer_movement_T043.csv,High/P_180612095751/S001/collision_pointer_movement_T043.csv
High,P_180612095751,1,44,4,5,596.4348,598.5,NegToPos,-0.6428571,00FFFF,SquareTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,Success,00FFFF,CircleTarget,DetectPos,,596.96,597.3,598.16,0.567813,0.3799939,30,High/P_180612095751/S001/visual_pointer_movement_T044.csv,High/P_180612095751/S001/collision_pointer_movement_T044.csv
High,P_180612095751,1,45,4,6,600.6302,603.12,NegToPos,-0.5785714,FF00FF,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,Success,FF00FF,SquareTarget,DetectPos,,601.22,601.6,602.72,0.5081209,0.3310556,31,High/P_180612095751/S001/visual_pointer_movement_T045.csv,High/P_180612095751/S001/collision_pointer_movement_T045.csv
High,P_180612095751,1,46,4,7,605.0648,607.44,NegToPos,-0.5142857,FFFF00,CircleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,Success,FFFF00,TriangleTarget,DetectPos,,605.66,606.06,607,0.3822421,0.4861626,32,High/P_180612095751/S001/visual_pointer_movement_T046.csv,High/P_180612095751/S001/collision_pointer_movement_T046.csv
High,P_180612095751,1,47,4,8,609.5963,611.9,NegToPos,-0.45,FF00FF,SquareTarget,FFFF00|FF00FF|00FFFF,CircleTarget|TriangleTarget|SquareTarget,Success,FF00FF,TriangleTarget,DetectPos,,610.3,610.68,611.58,0.5710853,0.4619717,33,High/P_180612095751/S001/visual_pointer_movement_T047.csv,High/P_180612095751/S001/collision_pointer_movement_T047.csv
High,P_180612095751,1,48,4,9,613.9985,616.7891,NegToPos,-0.3857143,00FFFF,SquareTarget,FF00FF|00FFFF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,TimeoutMiddleMoved,,,DetectPos,VisualPointer,614.78,615.18,616.18,0.3539219,0.5159327,,High/P_180612095751/S001/visual_pointer_movement_T048.csv,High/P_180612095751/S001/collision_pointer_movement_T048.csv
High,P_180612095751,1,49,4,10,619.1263,620.2272,NegToPos,-0.3214286,00FFFF,TriangleTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,619.72,,,0.3212885,,,High/P_180612095751/S001/visual_pointer_movement_T049.csv,High/P_180612095751/S001/collision_pointer_movement_T049.csv
High,P_180612095751,1,50,4,11,623.2739,625.32,NegToPos,-0.2571428,FFFF00,TriangleTarget,FFFF00|00FFFF|FF00FF,CircleTarget|SquareTarget|TriangleTarget,Success,FFFF00,CircleTarget,DetectPos,,623.8,624.12,625.02,0.4735755,0.3577615,34,High/P_180612095751/S001/visual_pointer_movement_T050.csv,High/P_180612095751/S001/collision_pointer_movement_T050.csv
High,P_180612095751,1,51,4,12,627.3317,629.54,NegToPos,-0.1928571,00FFFF,SquareTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,Success,00FFFF,CircleTarget,DetectPos,,627.76,628.08,629.18,0.5050575,0.5751835,35,High/P_180612095751/S001/visual_pointer_movement_T051.csv,High/P_180612095751/S001/collision_pointer_movement_T051.csv
High,P_180612095751,1,52,4,13,631.4074,633.3,NegToPos,-0.1285714,FF00FF,SquareTarget,FF00FF|FFFF00|00FFFF,SquareTarget|CircleTarget|TriangleTarget,Success,FF00FF,SquareTarget,DetectPos,,631.82,632.18,632.98,0.3188679,0.3987533,36,High/P_180612095751/S001/visual_pointer_movement_T052.csv,High/P_180612095751/S001/collision_pointer_movement_T052.csv
High,P_180612095751,1,53,4,14,635.2288,637.26,NegToPos,-0.06428571,00FFFF,TriangleTarget,FFFF00|FF00FF|00FFFF,SquareTarget|CircleTarget|TriangleTarget,Success,00FFFF,TriangleTarget,DetectPos,,635.74,636.12,636.88,0.3669701,0.3190719,37,High/P_180612095751/S001/visual_pointer_movement_T053.csv,High/P_180612095751/S001/collision_pointer_movement_T053.csv
High,P_180612095751,1,54,4,15,639.8436,642.0673,NegToPos,0,00FFFF,SquareTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|SquareTarget|CircleTarget,TimeoutMiddleMoved,,,DetectPos,VisualPointer,640.28,640.64,641.46,0.4769853,0.405418,,High/P_180612095751/S001/visual_pointer_movement_T054.csv,High/P_180612095751/S001/collision_pointer_movement_T054.csv
High,P_180612095751,1,55,4,16,645.0132,647.4851,NegToPos,0.06428571,FF00FF,CircleTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,TimeoutMiddleMoved,,,DetectPos,VisualPointer,645.52,645.96,646.88,0.3436647,0.5542494,,High/P_180612095751/S001/visual_pointer_movement_T055.csv,High/P_180612095751/S001/collision_pointer_movement_T055.csv
High,P_180612095751,1,56,4,17,649.8289,652.04,NegToPos,0.1285714,FFFF00,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|CircleTarget|SquareTarget,Success,FFFF00,TriangleTarget,DetectPos,,650.28,650.74,651.6,0.3642052,0.4534586,38,High/P_180612095751/S001/visual_pointer_movement_T056.csv,High/P_180612095751/S001/collision_pointer_movement_T056.csv
High,P_180612095751,1,57,4,18,654.4391,656.8,NegToPos,0.1928571,00FFFF,SquareTarget,00FFFF|FFFF00|FF00FF,SquareTarget|CircleTarget|TriangleTarget,Success,00FFFF,SquareTarget,DetectPos,,654.94,655.42,656.38,0.3524183,0.5671932,39,High/P_180612095751/S001/visual_pointer_movement_T057.csv,High/P_180612095751/S001/collision_pointer_movement_T057.csv
High,P_180612095751,1,58,4,19,658.7357,661.7025,NegToPos,0.2571428,FF00FF,CircleTarget,FFFF00|00FFFF|FF00FF,SquareTarget|CircleTarget|TriangleTarget,TimeoutMiddleMoved,,,DetectPos,VisualPointer,659.26,659.62,661.1,0.3713897,0.3454112,,High/P_180612095751/S001/visual_pointer_movement_T058.csv,High/P_180612095751/S001/collision_pointer_movement_T058.csv
High,P_180612095751,1,59,4,20,664.0815,665.02,NegToPos,0.3214286,00FFFF,TriangleTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,TimeoutStartMoved,,,DetectPos,VisualPointer,664.52,,,0.598862,,,High/P_180612095751/S001/visual_pointer_movement_T059.csv,High/P_180612095751/S001/collision_pointer_movement_T059.csv
High,P_180612095751,1,60,4,21,667.7851,670.04,NegToPos,0.3857143,FF00FF,SquareTarget,FF00FF|00FFFF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,Success,FF00FF,SquareTarget,DetectPos,,668.22,668.64,669.6,0.319894,0.3889997,40,High/P_180612095751/S001/visual_pointer_movement_T060.csv,High/P_180612095751/S001/collision_pointer_movement_T060.csv
High,P_180612095751,1,61,4,22,671.9412,674.34,NegToPos,0.45,FF00FF,TriangleTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,Success,FF00FF,SquareTarget,DetectPos,,672.4,672.82,673.74,0.3172812,0.4546569,41,High/P_180612095751/S001/visual_pointer_movement_T061.csv,High/P_180612095751/S001/collision_pointer_movement_T061.csv
High,P_180612095751,1,62,4,23,676.5615,677.26,NegToPos,0.5142857,FF00FF,TriangleTarget,FFFF00|00FFFF|FF00FF,TriangleTarget|CircleTarget|SquareTarget,HitObstacle,,,DetectPos,Obstacle,677.06,,,0.4206049,,,High/P_180612095751/S001/visual_pointer_movement_T062.csv,High/P_180612095751/S001/collision_pointer_movement_T062.csv
