experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,start_movement_timeout,middle_movement_timeout,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath,tablet_pixels_relpath
High,P_180718113850,1,1,1,1,1892.406,1895.9,Example,0,00FFFF,CircleTarget,00FFFF|FF00FF|FFFF00,SquareTarget|TriangleTarget|CircleTarget,5,1,Success,00FFFF,SquareTarget,DetectPos,,1893.45,1894.33,1895.31,0.4742513,0.5207916,1,High/P_180718113850/S001/visual_pointer_movement_T001.csv,High/P_180718113850/S001/collision_pointer_movement_T001.csv,High/P_180718113850/S001/tablet_pixels_T001.csv
High,P_180718113850,1,2,1,2,1898.314,1901.44,Example,0,FF00FF,TriangleTarget,FF00FF|FFFF00|00FFFF,TriangleTarget|SquareTarget|CircleTarget,5,1,Success,FF00FF,TriangleTarget,DetectPos,,1899.17,1899.73,1900.73,0.5874231,0.5419387,2,High/P_180718113850/S001/visual_pointer_movement_T002.csv,High/P_180718113850/S001/collision_pointer_movement_T002.csv,High/P_180718113850/S001/tablet_pixels_T002.csv
High,P_180718113850,1,3,1,3,1903.693,1906.76,Example,0,00FFFF,SquareTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,5,1,Success,00FFFF,TriangleTarget,DetectPos,,1904.5,1905.05,1906.1,0.3236158,0.5350959,3,High/P_180718113850/S001/visual_pointer_movement_T003.csv,High/P_180718113850/S001/collision_pointer_movement_T003.csv,High/P_180718113850/S001/tablet_pixels_T003.csv
High,P_180718113850,1,4,1,4,1908.81,1911.6,Example,0,FFFF00,TriangleTarget,00FFFF|FF00FF|FFFF00,TriangleTarget|CircleTarget|SquareTarget,0.6,1,Success,FFFF00,SquareTarget,DetectPos,,1909.56,1910.15,1911.09,0.3490281,0.470245,4,High/P_180718113850/S001/visual_pointer_movement_T004.csv,High/P_180718113850/S001/collision_pointer_movement_T004.csv,High/P_180718113850/S001/tablet_pixels_T004.csv
High,P_180718113850,1,5,2,1,1923.778,1924.59,Practice,0,00FFFF,CircleTarget,FF00FF|00FFFF|FFFF00,SquareTarget|TriangleTarget|CircleTarget,1,1,HitObstacle,,,DetectPos,Obstacle,1924.32,,,0.3122554,,,High/P_180718113850/S001/visual_pointer_movement_T005.csv,High/P_180718113850/S001/collision_pointer_movement_T005.csv,High/P_180718113850/S001/tablet_pixels_T005.csv
High,P_180718113850,1,6,2,2,1929.501,1932.04,Practice,0,00FFFF,SquareTarget,FFFF00|00FFFF|FF00FF,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,00FFFF,TriangleTarget,DetectPos,,1930.12,1930.65,1931.45,0.4801733,0.3141824,1,High/P_180718113850/S001/visual_pointer_movement_T006.csv,High/P_180718113850/S001/collision_pointer_movement_T006.csv,High/P_180718113850/S001/tablet_pixels_T006.csv
High,P_180718113850,1,7,2,3,1936.402,1938.86,Practice,0,00FFFF,CircleTarget,00FFFF|FFFF00|FF00FF,SquareTarget|CircleTarget|TriangleTarget,1,1,Success,00FFFF,SquareTarget,DetectPos,,1936.94,1937.46,1938.35,0.3086875,0.4738685,2,High/P_180718113850/S001/visual_pointer_movement_T007.csv,High/P_180718113850/S001/collision_pointer_movement_T007.csv,High/P_180718113850/S001/tablet_pixels_T007.csv
High,P_180718113850,1,8,2,4,1942.712,1945.32,Practice,0,00FFFF,SquareTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,00FFFF,CircleTarget,DetectPos,,1943.39,1943.95,1944.84,0.3309413,0.4432304,3,High/P_180718113850/S001/visual_pointer_movement_T008.csv,High/P_180718113850/S001/collision_pointer_movement_T008.csv,High/P_180718113850/S001/tablet_pixels_T008.csv
High,P_180718113850,1,9,2,5,1949.34,1951.91,Practice,0,FF00FF,SquareTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,FF00FF,TriangleTarget,DetectPos,,1949.94,1950.43,1951.39,0.48747,0.4023897,4,High/P_180718113850/S001/visual_pointer_movement_T009.csv,High/P_180718113850/S001/collision_pointer_movement_T009.csv,High/P_180718113850/S001/tablet_pixels_T009.csv
High,P_180718113850,1,10,2,6,1955.954,1958.59,Practice,0,00FFFF,SquareTarget,FF00FF|00FFFF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,1,1,Success,00FFFF,CircleTarget,DetectPos,,1956.51,1957.12,1958.06,0.3173527,0.5712402,5,High/P_180718113850/S001/visual_pointer_movement_T010.csv,High/P_180718113850/S001/collision_pointer_movement_T010.csv,High/P_180718113850/S001/tablet_pixels_T010.csv
