timestamp,log_type,message
218.8993,Log,Start color randomised
218.8993,Log,Start sprite randomised
218.8993,Log,Target colors randomised
218.8993,Log,Target sprites randomised
218.8993,Log,Start color randomised
218.8993,Log,Start sprite randomised
218.8993,Log,Target colors randomised
218.8993,Log,Target sprites randomised
218.8993,Log,Setting start & targets for negToPos
218.8993,Log,Start color randomised
218.8993,Log,Start sprite randomised
218.8993,Log,Target colors randomised
218.8993,Log,Target sprites randomised
218.8993,Log,Setting start & targets for posToNeg
218.8993,Log,Start color randomised
218.8993,Log,Start sprite randomised
218.8993,Log,Target colors randomised
218.8993,Log,Target sprites randomised
218.8993,Log,Setting start & targets for random
218.8993,Log,Start color randomised
218.8993,Log,Start sprite randomised
218.8993,Log,Target colors randomised
218.8993,Log,Target sprites randomised
218.8993,Log,Order of blocks:
218.8993,Log,Random
218.8993,Log,PosToNeg
218.8993,Log,NegToPos
218.8993,Log,Preparing trial number: 1
223.8834,Log,New State: Preparation
223.8834,Log,Destroying targets
223.8834,Log,Creating targets
255.12,Log,New State: Waiting
255.5048,Log,New State: Started
257.2299,Log,New State: MiddleStarted
258.32,Log,New State: Finished
258.32,Log,Correct
259.3204,Log,Preparing trial number: 2
259.3204,Log,New State: Preparation
259.94,Log,New State: Waiting
260.2552,Log,New State: Started
261.5034,Log,New State: MiddleStarted
262.32,Log,New State: Finished
262.32,Log,Correct
263.3293,Log,Preparing trial number: 3
268.3261,Log,New State: Preparation
269.4,Log,New State: Waiting
269.9004,Log,New State: Started
270.52,Log,New State: Finished
270.52,Log,Failed: HitObstacle object: Obstacle
271.5279,Log,Preparing trial number: 4
276.5296,Log,New State: Preparation
278.32,Log,New State: Waiting
278.7667,Log,New State: Started
279.6103,Log,New State: Finished
279.6103,Log,Failed: TimeoutStartMoved object: VisualPointer
280.6062,Log,Preparing trial number: 5
285.6047,Log,New State: Preparation
296.06,Log,New State: Waiting
296.14,Log,New State: Preparation
298.62,Log,New State: Waiting
298.9046,Log,New State: Preparation
299.4,Log,New State: Waiting
299.4,Log,New State: Preparation
300.8,Log,New State: Waiting
301.1339,Log,New State: Started
302.638,Log,New State: Finished
302.638,Log,Failed: MouseLifted object: VisualPointer
303.6204,Log,Preparing trial number: 6
303.6204,Log,New State: Preparation
306.06,Log,New State: Waiting
306.5615,Log,New State: Started
307.8417,Log,New State: Finished
307.8417,Log,Failed: TimeoutStartMoved object: VisualPointer
308.8454,Log,Preparing trial number: 7
308.8454,Log,New State: Preparation
312.6,Log,New State: Waiting
313.1121,Log,New State: Started
314.2707,Log,New State: MiddleStarted
315.5035,Log,New State: Finished
315.5035,Log,Failed: TimeoutMiddleMoved object: VisualPointer
316.5041,Log,Preparing trial number: 8
316.5041,Log,New State: Preparation
