time,pos_x,pos_y,pressure
583.3106,2.05886,-68.93862,0.6823069
583.3206,2.05886,-68.93862,0.6852395
583.3306,2.025283,-68.97399,0.686217
583.3406,2.025283,-68.97399,0.688172
583.3507,1.997298,-68.97399,0.688172
583.3607,1.997298,-69.00937,0.6891496
583.3706,1.969319,-69.04475,0.6911046
583.3806,1.935737,-69.04475,0.6930596
583.3906,1.935737,-69.04475,0.6940371
583.4006,1.896562,-69.04475,0.6950147
583.4106,1.896562,-69.04475,0.6950147
583.4206,1.868582,-69.06243,0.6959922
583.4306,1.868582,-69.06243,0.6959922
583.4406,1.868582,-69.06243,0.6979472
583.4506,1.868582,-69.06243,0.6979472
583.4606,1.868582,-69.06243,0.6989247
583.4706,1.868582,-69.06243,0.6989247
583.4807,1.896562,-69.06243,0.6999022
583.4906,1.896562,-69.06243,0.6999022
583.5006,1.896562,-69.06243,0.7008798
583.5106,1.896562,-69.06243,0.7008798
583.5206,1.896562,-69.06243,0.7008798
583.5306,1.896562,-69.06243,0.7018573
583.5406,1.868582,-69.06243,0.7028348
583.5506,1.840598,-69.04475,0.7057673
583.5606,1.79583,-69.04475,0.7077224
583.5706,1.79583,-69.04475,0.7096774
583.5806,1.767846,-69.00937,0.7106549
583.5906,1.728671,-69.00937,0.7116324
583.6006,1.700691,-69.00937,0.7126099
583.6106,1.667109,-68.97399,0.714565
583.6206,1.63913,-68.97399,0.7155425
583.6306,1.611145,-68.97399,0.7174975
583.6406,1.527202,-68.97399,0.7194526
583.6506,1.448852,-68.97399,0.7194526
583.6606,1.370502,-69.00937,0.7194526
583.6707,1.25857,-69.00937,0.7194526
583.6807,1.129854,-69.04475,0.7214077
583.6906,0.9451742,-69.04475,0.7233627
583.7006,0.6821396,-69.06243,0.7243402
583.7106,0.3743368,-69.0978,0.7253177
583.7206,0.02735907,-69.15086,0.7243402
583.7307,-0.353196,-69.22161,0.7243402
583.7407,-0.728158,-69.25699,0.7253177
583.7506,-1.108713,-69.31005,0.7272727
583.7606,-1.483675,-69.32774,0.7272727
583.7706,-1.86423,-69.3808,0.7282503
583.7807,-2.250383,-69.45155,0.7292278
583.7906,-2.658922,-69.45155,0.7292278
583.8006,-3.089848,-69.48692,0.7292278
583.8106,-3.543155,-69.52229,0.7292278
583.8206,-4.113993,-69.53998,0.7292278
583.8306,-4.718402,-69.57536,0.7311828
583.8406,-5.345203,-69.53998,0.7331378
583.8506,-5.960809,-69.48692,0.7350929
583.8607,-6.548435,-69.36311,0.7380254
583.8706,-7.164041,-69.22161,0.7399805
583.8806,-7.841208,-69.06243,0.7419355
583.8906,-8.607915,-68.90324,0.7419355
583.9006,-9.413803,-68.691,0.7419355
583.9106,-10.24207,-68.4257,0.7438905
583.9206,-11.03676,-68.07197,0.7438905
583.9306,-11.82586,-67.62979,0.7438905
583.9406,-12.6989,-67.09918,0.742913
583.9507,-13.61671,-66.44477,0.7419355
583.9606,-14.51214,-65.68423,0.740958
583.9706,-15.37399,-64.87063,0.7419355
583.9807,-16.20226,-63.9686,0.7438905
583.9906,-17.11447,-63.03119,0.744868
584.0007,-18.0211,-61.98766,0.7438905
584.0106,-18.89973,-60.8557,0.7419355
584.0206,-19.7336,-59.61762,0.7399805
584.0306,-20.55068,-58.22035,0.7390029
584.0406,-21.33418,-56.68159,0.7399805
584.0506,-22.0841,-55.03671,0.7390029
584.0606,-22.69971,-53.30339,0.7419355
584.0706,-23.19778,-51.46395,0.7419355
584.0808,-23.58394,-49.51839,0.7419355
584.0906,-23.87495,-47.51977,0.7399805
584.1006,-24.11,-45.48577,0.7399805
584.1107,-24.23312,-43.4164,0.7390029
584.1206,-24.27789,-41.31166,0.7390029
584.1306,-24.22193,-38.05726,0.7419355
584.1406,-24.14918,-36.94299,0.7419355
584.1508,-23.91973,-34.67907,0.740958
584.1606,-23.3265,-31.17706,0.7390029
584.1707,-22.68851,-28.86007,0.7380254
584.1906,-21.33418,-25.39344,0.7380254
584.2006,-20.25966,-23.09413,0.7390029
584.2106,-19.08442,-20.79483,0.7390029
584.2206,-17.18723,-17.41664,0.7390029
584.2307,-16.54924,-16.30236,0.7390029
584.2406,-14.37783,-13.04797,0.7380254
584.2506,-12.86679,-10.92554,0.7360704
584.2606,-11.2886,-8.820795,0.7360704
584.2706,-9.68243,-6.698368,0.7370479
584.2806,-8.14901,-4.540556,0.7390029
584.2906,-6.470085,-2.365073,0.7419355
584.3007,-5.625027,-1.197735,0.7419355
584.3223,-1.125502,4.60357,0.7478006
584.3306,0.7213146,6.938246,0.7468231
584.3406,1.678305,8.105584,0.7468231
584.3506,4.515688,11.67834,0.7478006
584.3606,6.345716,14.0307,0.7497556
584.3706,8.075012,16.38306,0.7517107
584.3806,8.880896,17.56808,0.7517107
584.3906,11.11946,21.0701,0.7497556
584.4006,12.35627,23.36939,0.7497556
584.4106,13.4196,25.61563,0.7517107
584.4206,14.29263,27.84418,0.7565982
584.4306,14.98099,29.91355,0.7644184
584.4406,15.51826,31.92985,0.773216
584.4506,15.93799,33.82236,0.7810361
584.4606,16.19542,35.64412,0.7869013
584.4706,16.28496,37.35975,0.7908114
584.4807,16.2234,38.98693,0.7917889
584.4907,16.04432,40.57876,0.7947214
584.5006,15.77009,42.08215,0.7986315
584.5107,15.45109,43.56785,0.801564
584.5206,15.07054,45.03586,0.8064516
584.5308,14.69558,46.41545,0.8084067
584.5406,14.27585,47.77733,0.8132942
584.5506,13.75538,49.10385,0.8191593
584.5606,13.17895,50.37731,0.8230694
584.5708,12.45701,51.61539,0.8260019
584.5806,11.70709,52.76505,0.827957
584.5906,10.95158,53.89701,0.8308895
584.6006,10.22403,54.95823,0.8347996
584.6107,9.507696,56.01944,0.8396872
584.6206,8.724195,57.04528,0.8445748
