experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,position_rel,start_color_string,start_sprite_string,target_colors_string,target_sprites_string,start_movement_timeout,middle_movement_timeout,outcome,chosen_color,chosen_sprite,direction,hit_object,moved_from_start_timestamp,reached_middle_timestamp,moved_from_middle_timestamp,start_wait_time,middle_wait_time,current_score,visual_pointer_movement_relpath,collision_pointer_movement_relpath,tablet_pixels_relpath
High,P_180718135807,1,1,1,1,190.9773,194.47,Example,0,FFFF00,CircleTarget,00FFFF|FFFF00|FF00FF,TriangleTarget|SquareTarget|CircleTarget,5,1,Success,FFFF00,SquareTarget,DetectNeg0|DetectNeg1,,191.93,192.53,193.71,0.4770295,0.4216898,1,High/P_180718135807/S001/visual_pointer_movement_T001.csv,High/P_180718135807/S001/collision_pointer_movement_T001.csv,High/P_180718135807/S001/tablet_pixels_T001.csv
High,P_180718135807,1,2,1,2,196.631,199.1,Example,0,FF00FF,CircleTarget,FFFF00|FF00FF|00FFFF,CircleTarget|SquareTarget|TriangleTarget,5,1,Success,FF00FF,SquareTarget,DetectPos0|DetectPos1,,197.16,197.81,198.64,0.3065323,0.4224411,2,High/P_180718135807/S001/visual_pointer_movement_T002.csv,High/P_180718135807/S001/collision_pointer_movement_T002.csv,High/P_180718135807/S001/tablet_pixels_T002.csv
High,P_180718135807,1,3,1,3,200.856,201.44,Example,0,00FFFF,TriangleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|SquareTarget|TriangleTarget,5,1,HitObstacle,,,DetectPos0,Obstacle0,201.27,,,0.3898416,,,High/P_180718135807/S001/visual_pointer_movement_T003.csv,High/P_180718135807/S001/collision_pointer_movement_T003.csv,High/P_180718135807/S001/tablet_pixels_T003.csv
High,P_180718135807,1,4,1,4,203.9689,204.8721,Example,0,FF00FF,TriangleTarget,FF00FF|00FFFF|FFFF00,SquareTarget|CircleTarget|TriangleTarget,0.6,1,TimeoutStartMoved,,,DetectPos0|DetectPos1,VisualPointer,204.27,,,0.5112171,,,High/P_180718135807/S001/visual_pointer_movement_T004.csv,High/P_180718135807/S001/collision_pointer_movement_T004.csv,High/P_180718135807/S001/tablet_pixels_T004.csv
High,P_180718135807,1,5,2,1,219.1611,221.83,Practice,0,00FFFF,SquareTarget,FFFF00|FF00FF|00FFFF,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,00FFFF,CircleTarget,DetectNeg0|DetectNeg1,,219.8,220.36,221.44,0.4886701,0.3330517,1,High/P_180718135807/S001/visual_pointer_movement_T005.csv,High/P_180718135807/S001/collision_pointer_movement_T005.csv,High/P_180718135807/S001/tablet_pixels_T005.csv
High,P_180718135807,1,6,2,2,226.372,229.33,Practice,0,FF00FF,CircleTarget,FF00FF|00FFFF|FFFF00,SquareTarget|TriangleTarget|CircleTarget,1,1,Success,FF00FF,SquareTarget,DetectNeg0|DetectNeg1,,227.09,227.68,228.94,0.4999137,0.5954334,2,High/P_180718135807/S001/visual_pointer_movement_T006.csv,High/P_180718135807/S001/collision_pointer_movement_T006.csv,High/P_180718135807/S001/tablet_pixels_T006.csv
High,P_180718135807,1,7,2,3,234.5948,237.23,Practice,0,FF00FF,TriangleTarget,FF00FF|FFFF00|00FFFF,SquareTarget|TriangleTarget|CircleTarget,1,1,Success,FF00FF,SquareTarget,DetectNeg0|DetectNeg1,,235.23,235.78,236.75,0.379586,0.508399,3,High/P_180718135807/S001/visual_pointer_movement_T007.csv,High/P_180718135807/S001/collision_pointer_movement_T007.csv,High/P_180718135807/S001/tablet_pixels_T007.csv
High,P_180718135807,1,8,2,4,241.7799,244.7,Practice,0,FF00FF,SquareTarget,FFFF00|FF00FF|00FFFF,SquareTarget|TriangleTarget|CircleTarget,1,1,Success,FF00FF,TriangleTarget,DetectNeg0|DetectNeg1,,242.28,242.96,243.92,0.3965509,0.4810898,4,High/P_180718135807/S001/visual_pointer_movement_T008.csv,High/P_180718135807/S001/collision_pointer_movement_T008.csv,High/P_180718135807/S001/tablet_pixels_T008.csv
High,P_180718135807,1,9,2,5,249.2619,251.64,Practice,0,FF00FF,CircleTarget,00FFFF|FF00FF|FFFF00,CircleTarget|TriangleTarget|SquareTarget,1,1,Success,FF00FF,TriangleTarget,DetectNeg0|DetectNeg1,,249.89,250.49,251.22,0.3109153,0.3106204,5,High/P_180718135807/S001/visual_pointer_movement_T009.csv,High/P_180718135807/S001/collision_pointer_movement_T009.csv,High/P_180718135807/S001/tablet_pixels_T009.csv
High,P_180718135807,1,10,2,6,256.2731,258.75,Practice,0,FF00FF,SquareTarget,FF00FF|00FFFF|FFFF00,TriangleTarget|SquareTarget|CircleTarget,1,1,Success,FF00FF,TriangleTarget,DetectNeg0|DetectNeg1,,256.76,257.42,258.23,0.441516,0.3752443,6,High/P_180718135807/S001/visual_pointer_movement_T010.csv,High/P_180718135807/S001/collision_pointer_movement_T010.csv,High/P_180718135807/S001/tablet_pixels_T010.csv
